IDENTIFIER.OTHER,DC.TITLE,DC.DESCRIPTION.ABSTRACT,DC.CONTRIBUTOR.AUTHOR,DC.CONTRIBUTOR.OTHER,DC.DATE.ISSUED,DC.DATE.CREATED,DC.COVERAGE.TEMPORAL,DC.TITLE.FILENAME ,RELATIVE_PATH,DC.DESCRIPTION.FILENAME,DC.TYPE,DC.RIGHTS.ACCESS,DC.DATE.OPEN,DC.RIGHTS.COPYRIGHT,DC.LANGUAGE.ISO
9811_0001_0011,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Appro Comm Test 1.1_",,"Duderstadt, James J.",,1991-03-10 00:00:00,2015,1991-03-10 00:00:00,Appro Comm Test 1.1_ | jjd1103.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Appro Comm Test 1.1_ | \9811_0001\data\Speeches\JJDS5b\jjd1103.pdf,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0012,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Athletes Reception",,"Duderstadt, James J.",,1990-04-13 00:00:00,2015,1990-04-13 00:00:00,Athletes Reception | jjd972.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Athletes Reception | \9811_0001\data\Speeches\JJDS4b\jjd972.pdf,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0013,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Automotive_",,"Duderstadt, James J.",,undated,2015,undated,Automotive_,\9811_0001\data\original-records\1989-1990 Speeches\Automotive_,,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0014,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - BAM Symposium_",,"Duderstadt, James J.",,undated,2015,undated,BAM Symposium_,\9811_0001\data\original-records\1989-1990 Speeches\BAM Symposium_,,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0015,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Basketball Bust-90",,"Duderstadt, James J.",,1990-04-09 00:00:00,2015,1990-04-09 00:00:00,Basketball Bust-90 | jjd975.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Basketball Bust-90 | \9811_0001\data\Speeches\JJDS4b\jjd975.pdf,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0016,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Bo",,"Duderstadt, James J.",,1989-12-13 00:00:00,2015,1989-12-13 00:00:00,Bo | jjd976.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Bo | \9811_0001\data\Speeches\JJDS4a\jjd976.pdf,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0017,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Bo Ideas",,"Duderstadt, James J.",,1990-01-03 00:00:00,2015,1990-01-03 00:00:00,Bo Ideas | jjd140.doc,\9811_0001\data\original-records\1989-1990 Speeches\Bo Ideas | \9811_0001\data\Ideas\JJDI4\jjd140.doc,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0018,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Bo’s Farewells",,"Duderstadt, James J.",,undated,2015,undated,Bo’s Farewells,\9811_0001\data\original-records\1989-1990 Speeches\Bo’s Farewells,,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0019,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Caltech Commencement-89",,"Duderstadt, James J.",,1990-04-13 00:00:00,2015,1990-04-13 00:00:00,Caltech Commencement-89 | jjd979.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Caltech Commencement-89 | \9811_0001\data\Speeches\JJDS4b\jjd979.pdf,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0020,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Campaign Wrapup",,"Duderstadt, James J.",,1989-11-03 00:00:00,2015,1989-11-03 00:00:00,Campaign Wrapup | jjd980.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Campaign Wrapup | \9811_0001\data\Speeches\JJDS4a\jjd980.pdf,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0021,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Campaign--11_3_89",,"Duderstadt, James J.",,undated,2015,undated,Campaign--11_3_89,\9811_0001\data\original-records\1989-1990 Speeches\Campaign--11_3_89,,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0022,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Case Statement_",,"Duderstadt, James J.",,1989-09-26 00:00:00,2015,1989-09-26 00:00:00,Case Statement_ | jjd982.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Case Statement_ | \9811_0001\data\Speeches\JJDS4a\jjd982.pdf,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0023,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Center for Visual Arts",,"Duderstadt, James J.",,1990-01-21 00:00:00,2015,1990-01-21 00:00:00,Center for Visual Arts | jjd983.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Center for Visual Arts | \9811_0001\data\Speeches\JJDS4b\jjd983.pdf,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0024,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Chemistry Dedication",,"Duderstadt, James J.",,1989-09-15 00:00:00,2015,1989-09-15 00:00:00,Chemistry Dedication | jjd984.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Chemistry Dedication | \9811_0001\data\Speeches\JJDS4a\jjd984.pdf,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0025,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Chemistry Dedication II",,"Duderstadt, James J.",,undated,2015,undated,Chemistry Dedication II,\9811_0001\data\original-records\1989-1990 Speeches\Chemistry Dedication II,,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0026,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Chemistry Lunch",,"Duderstadt, James J.",,1989-09-14 00:00:00,2015,1989-09-14 00:00:00,Chemistry Lunch | jjd986.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Chemistry Lunch | \9811_0001\data\Speeches\JJDS4a\jjd986.pdf,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0027,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Citizens Res Council",,"Duderstadt, James J.",,1989-09-20 00:00:00,2015,1989-09-20 00:00:00,Citizens Res Council | jjd1723.doc,\9811_0001\data\original-records\1989-1990 Speeches\Citizens Res Council | \9811_0001\data\Write\JJDW3\jjd1723.doc,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0028,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Commence-Fall-89",,"Duderstadt, James J.",,1989-12-14 00:00:00,2015,1989-12-14 00:00:00,Commence-Fall-89 | jjd988.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Commence-Fall-89 | \9811_0001\data\Speeches\JJDS4a\jjd988.pdf,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0029,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Commence-Spring-90",,"Duderstadt, James J.",,1990-04-13 00:00:00,2015,1990-04-13 00:00:00,Commence-Spring-90 | jjd989.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Commence-Spring-90 | \9811_0001\data\Speeches\JJDS4b\jjd989.pdf,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0030,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Congressional_",,"Duderstadt, James J.",,1990-02-27 00:00:00,2015,1990-02-27 00:00:00,Congressional_ | jjd990.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Congressional_ | \9811_0001\data\Speeches\JJDS4b\jjd990.pdf,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0031,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Corporate Remarks_",,"Duderstadt, James J.",,1989-09-13 00:00:00,2015,1989-09-13 00:00:00,Corporate Remarks_ | jjd991.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Corporate Remarks_ | \9811_0001\data\Speeches\JJDS4a\jjd991.pdf,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0032,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Costs of Education",,"Duderstadt, James J.",,1989-08-31 00:00:00,2015,1989-08-31 00:00:00,Costs of Education | jjd992.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Costs of Education | \9811_0001\data\Speeches\JJDS4a\jjd992.pdf,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0033,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Cranbrook Talk",,"Duderstadt, James J.",,undated,2015,undated,Cranbrook Talk,\9811_0001\data\original-records\1989-1990 Speeches\Cranbrook Talk,,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0034,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Current Draft",,"Duderstadt, James J.",,undated,2015,undated,Current Draft,\9811_0001\data\original-records\1989-1990 Speeches\Current Draft,,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0035,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Development_",,"Duderstadt, James J.",,1990-05-31 00:00:00,2015,1990-05-31 00:00:00,Development_ | jjd995.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Development_ | \9811_0001\data\Speeches\JJDS4b\jjd995.pdf,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0036,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Education",,"Duderstadt, James J.",,1989-11-13 00:00:00,2015,1989-11-13 00:00:00,Education | jjd996.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Education | \9811_0001\data\Speeches\JJDS4a\jjd996.pdf,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0037,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Education 1.0",,"Duderstadt, James J.",,1989-11-13 00:00:00,2015,1989-11-13 00:00:00,Education 1.0 | jjd997.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Education 1.0 | \9811_0001\data\Speeches\JJDS4a\jjd997.pdf,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0038,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Education 1.3",,"Duderstadt, James J.",,1989-11-13 00:00:00,2015,1989-11-13 00:00:00,Education 1.3 | jjd998.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Education 1.3 | \9811_0001\data\Speeches\JJDS4a\jjd998.pdf,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0039,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Education Notes",,"Duderstadt, James J.",,1989-12-25 00:00:00,2015,1989-12-25 00:00:00,Education Notes | jjd999.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Education Notes | \9811_0001\data\Speeches\JJDS4a\jjd999.pdf,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0040,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - EDUCOM Panel",,"Duderstadt, James J.",,1989-10-16 00:00:00,2015,1989-10-16 00:00:00,EDUCOM Panel | jjd1000.pdf,\9811_0001\data\original-records\1989-1990 Speeches\EDUCOM Panel | \9811_0001\data\Speeches\JJDS4a\jjd1000.pdf,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0041,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - EDUCOM Panel Intro",,"Duderstadt, James J.",,1989-10-16 00:00:00,2015,1989-10-16 00:00:00,EDUCOM Panel Intro | jjd1001.pdf,\9811_0001\data\original-records\1989-1990 Speeches\EDUCOM Panel Intro | \9811_0001\data\Speeches\JJDS4a\jjd1001.pdf,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0042,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - EDUCOM Press_",,"Duderstadt, James J.",,1989-10-16 00:00:00,2015,1989-10-16 00:00:00,EDUCOM Press_ | jjd1002.pdf,\9811_0001\data\original-records\1989-1990 Speeches\EDUCOM Press_ | \9811_0001\data\Speeches\JJDS4a\jjd1002.pdf,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0043,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - EDUCOM Welcome",,"Duderstadt, James J.",,1989-10-14 00:00:00,2015,1989-10-14 00:00:00,EDUCOM Welcome | jjd1003.pdf,\9811_0001\data\original-records\1989-1990 Speeches\EDUCOM Welcome | \9811_0001\data\Speeches\JJDS4a\jjd1003.pdf,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0044,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Engineering Comm",,"Duderstadt, James J.",,1990-04-13 00:00:00,2015,1990-04-13 00:00:00,Engineering Comm | jjd1004.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Engineering Comm | \9811_0001\data\Speeches\JJDS4b\jjd1004.pdf,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0045,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Flint Rotary",,"Duderstadt, James J.",,1990-03-25 00:00:00,2015,1990-03-25 00:00:00,Flint Rotary | jjd1005.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Flint Rotary | \9811_0001\data\Speeches\JJDS4b\jjd1005.pdf,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0046,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Football Bust 2.0",,"Duderstadt, James J.",,1989-11-26 00:00:00,2015,1989-11-26 00:00:00,Football Bust 2.0 | jjd1006.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Football Bust 2.0 | \9811_0001\data\Speeches\JJDS4a\jjd1006.pdf,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0047,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Freshman Convocation 3.0",,"Duderstadt, James J.",,1989-08-30 00:00:00,2015,1989-08-30 00:00:00,Freshman Convocation 3.0 | jjd1154.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Freshman Convocation 3.0 | \9811_0001\data\Speeches\JJDS5a\jjd1154.pdf,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0048,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - FXB Talk",,"Duderstadt, James J.",,undated,2015,undated,FXB Talk,\9811_0001\data\original-records\1989-1990 Speeches\FXB Talk,,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0049,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - GM Spirit Awards_",,"Duderstadt, James J.",,undated,2015,undated,GM Spirit Awards_,\9811_0001\data\original-records\1989-1990 Speeches\GM Spirit Awards_,,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0050,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Graduate Welcome 3.0",,"Duderstadt, James J.",,1989-08-30 00:00:00,2015,1989-08-30 00:00:00,Graduate Welcome 3.0 | jjd1010.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Graduate Welcome 3.0 | \9811_0001\data\Speeches\JJDS4a\jjd1010.pdf,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0051,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Grand Rapids EC",,"Duderstadt, James J.",,1989-12-10 00:00:00,2015,1989-12-10 00:00:00,Grand Rapids EC | jjd1011.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Grand Rapids EC | \9811_0001\data\Speeches\JJDS4a\jjd1011.pdf,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0052,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Hartford Sermon 2.0act",,"Duderstadt, James J.",,undated,2015,undated,Hartford Sermon 2.0act,\9811_0001\data\original-records\1989-1990 Speeches\Hartford Sermon 2.0act,,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0053,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Hartford Sermon 2.1",,"Duderstadt, James J.",,1990-06-27 00:00:00,2015,1990-06-27 00:00:00,Hartford Sermon 2.1 | jjd1013.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Hartford Sermon 2.1 | \9811_0001\data\Speeches\JJDS4b\jjd1013.pdf,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0054,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Higher Education 1.0",,"Duderstadt, James J.",,1989-11-06 00:00:00,2015,1989-11-06 00:00:00,Higher Education 1.0 | jjd1014.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Higher Education 1.0 | \9811_0001\data\Speeches\JJDS4a\jjd1014.pdf,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0055,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Hispanic Heritage_",,"Duderstadt, James J.",,1989-09-17 00:00:00,2015,1989-09-17 00:00:00,Hispanic Heritage_ | jjd1015.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Hispanic Heritage_ | \9811_0001\data\Speeches\JJDS4a\jjd1015.pdf,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0056,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Homecoming-89",,"Duderstadt, James J.",,1989-10-28 00:00:00,2015,1989-10-28 00:00:00,Homecoming-89 | jjd1016.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Homecoming-89 | \9811_0001\data\Speeches\JJDS4a\jjd1016.pdf,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0057,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Intern Forum 9_89",,"Duderstadt, James J.",,undated,2015,undated,Intern Forum 9_89,\9811_0001\data\original-records\1989-1990 Speeches\Intern Forum 9_89,,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0058,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - JJD Student Letter",,"Duderstadt, James J.",,1990-11-21 00:00:00,2015,1990-11-21 00:00:00,JJD Student Letter | jjd1174.pdf,\9811_0001\data\original-records\1989-1990 Speeches\JJD Student Letter | \9811_0001\data\Speeches\JJDS5b\jjd1174.pdf,Original version | Preservation version,Office Documents,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
