prefix,title,primary,secondary,number,suffix,fuller form,birth date,death date,auth link,source
,Sir,Budge,E. A. Wallis,,,Ernest Alfred Wallis,1857,1934,http://id.loc.gov/authorities/names/n80057205,lcnaf
,Sir,Churchill,Winston,,,,1874,1965,http://id.loc.gov/authorities/names/n78085430,lcnaf
,Sir,Costa,Michael Andrew Agnus,,,,1808,1884,,lcnaf
,Sir,Cripps,Richard Stafford,,,,1889,1952,http://id.loc.gov/authorities/names/n83179276,lcnaf
,Sir,Donaldson,James,,,,1831,1915,http://id.loc.gov/authorities/names/n88680196,lcnaf
,Sir,Garrod,Alfred Baring,,,,1819,1907,,lcnaf
,Sir,German,Edward,,,,1862,1936,http://id.loc.gov/authorities/names/n80166825,lcnaf
,Sir,Gordon,Archibald,,,,,,,lcnaf
,Sir,Haley,William,,,,1901,,,lcnaf
,Sir,Ironside,Edmund,,,,1880,1959,http://id.loc.gov/authorities/names/n50037664,lcnaf
,Sir,Kenyon,Frederic G.,,,Frederic George,1863,1952,http://id.loc.gov/authorities/names/n50044760,lcnaf
,Sir,Menzies,Robert Gordon,,,,1894,1978,http://id.loc.gov/authorities/names/n50037092,lcnaf
,Sir,Osler,William,,,,1849,1919,,lcnaf
,Sir,Penney,William George,,,,1909,,,lcnaf
,Sir,Plunkett,Horace Curzon,,,,1854,1932,http://id.loc.gov/authorities/names/n84036463,lcnaf
,Sir,Ross,Ronald,,,,1857,1932,,lcnaf
,Sir,Russell,William Howard,,,,1820,1907,http://id.loc.gov/authorities/names/n50036052,lcnaf
,Sir,Sullivan,Arthur,,,,1842,1900,,lcnaf
,Sir,Sullivan,Arthur,,,,1842,1900,http://id.loc.gov/authorities/names/n80019543,lcnaf
,Viscount,Bryce,James Bryce,,,,1838,1922,http://id.loc.gov/authorities/names/n50041122,lcnaf
,,Abbitt,W. H,,,,,,,lcnaf
,,Abbot,Henry L.,,,Henry Larcom,1831,1927,,lcnaf
,,Abbot,Waldo,,,,1888,,http://id.loc.gov/authorities/names/no97066767,lcnaf
,,Abbot,Willis J.,,,Willis John,1863,1934,http://id.loc.gov/authorities/names/n89605398,lcnaf
,,Abbott,Bud,,,,,,,lcnaf
,,Abbott,Donald Putnam,,,,,,http://id.loc.gov/authorities/names/n81042314,lcnaf
,,Abbott,Horatio J.,,,Horatio Johnson,1876,1936,http://id.loc.gov/authorities/names/no2008182920,lcnaf
,,Abbott,James,,,,,,,lcnaf
,,Abbott,Leonard Dalton,,,,1878,1953,http://id.loc.gov/authorities/names/n93027067,lcnaf
,,Abbott,Nathan,,,,1854,1941,http://id.loc.gov/authorities/names/n85248290,lcnaf
,,Abbott,Sidney D.,,,,1826,,,lcnaf
,,Abdel-Massih,Ernest T,,,,,,http://id.loc.gov/authorities/names/n50034811,lcnaf
,,Abel,Henry J.,,,,1890,1953,,lcnaf
,,Abel,John Jacob,,,,1857,1938,http://id.loc.gov/authorities/names/n82108754,lcnaf
,,Aberbach,Joel D,,,,,,http://id.loc.gov/authorities/names/n81028152,lcnaf
,,Abernethy,Alonzo,,,,1836,1915,,lcnaf
,,Abraham,Nabeel,,,,,,http://id.loc.gov/authorities/names/n82042224,lcnaf
,,Abrams,Alan E,,,,,,http://id.loc.gov/authorities/names/n79036572,lcnaf
,,Abrams,G. D.,,,Gerald David,1932,,http://id.loc.gov/authorities/names/nr92042288,lcnaf
,,Abu Ayn,Ziyad,,,,,,,lcnaf
,,Acheson,Dean,,,,1893,1971,http://id.loc.gov/authorities/names/n79043447,lcnaf
,,Acheson,Phyllis,,,,,,,lcnaf
,,Achilles,Theodore C.,,,Theodore Carter,1905,1986,http://id.loc.gov/authorities/names/n90647223,lcnaf
,,Ackley,Gardner,,,,,,http://id.loc.gov/authorities/names/n50036889,lcnaf
,,Acton,Hugh,,,,,,,lcnaf
,,Adam,John J.,,,,1807,1888,,lcnaf
,,Adami,J. George,,,John George,1862,1926,http://id.loc.gov/authorities/names/n85801217,lcnaf
,,Adamic,Louis,,,,1899,1951,http://id.loc.gov/authorities/names/n50036829,lcnaf
,,Adams,Adeline B,,,,,,,lcnaf
,,Adams,Adeline Valentine Pond,,,,,1948,,lcnaf
,,Adams,Bertha H. Wright,,,,,,,lcnaf
,,Adams,Brooks,,,,1848,1927,http://id.loc.gov/authorities/names/n50036834,lcnaf
,,Adams,Charles C.,,,Charles Christopher,1873,1955,http://id.loc.gov/authorities/names/n87101285,lcnaf
,,Adams,Charles Francis,,,,1835,1915,http://id.loc.gov/authorities/names/n50036838,lcnaf
,,Adams,Charles Francis,,,,1866,1954,http://id.loc.gov/authorities/names/n94101860,lcnaf
,,Adams,Charles G.,,,Charles Gilchrist,1936,,,lcnaf
,,Adams,Charles Kendall,,,,1835,1902,http://id.loc.gov/authorities/names/n87145383,lcnaf
,,Adams,Clark J.,,,,1904,1981,,lcnaf
,,Adams,Donald Earl,,,,1912,,,lcnaf
,,Adams,Edward Francis,,,,1839,1939,,lcnaf
,,Adams,Elizabeth S,,,,,,,lcnaf
,,Adams,Elizabeth Sylvia Ann,,,Douglass,1821,1905,,lcnaf
,,Adams,Ephraim Douglass,,,,1865,1930,http://id.loc.gov/authorities/names/n92098170,lcnaf
,,Adams,Ephraim,,,,1818,1907,http://id.loc.gov/authorities/names/n88616373,lcnaf
,,Adams,Evyn,,,,,,,lcnaf
,,Adams,Fred Winslow,,,,1866,1945,http://id.loc.gov/authorities/names/no2010017101,lcnaf
,,Adams,George Plimpton,,,,1882,1961,http://id.loc.gov/authorities/names/n82253251,lcnaf
,,Adams,Henry Carter,,,,1851,1921,http://id.loc.gov/authorities/names/n50036849,lcnaf
,,Adams,Henry Carter,,,,1891,1970,,lcnaf
,,Adams,Henry Foster,,,,,,http://id.loc.gov/authorities/names/n85058461,lcnaf
,,Adams,Herbert Baxter,,,,1850,1901,http://id.loc.gov/authorities/names/n50036850,lcnaf
,,Adams,Herbert,,,,1858,1945,http://id.loc.gov/authorities/names/nr89014346,lcnaf
,,Adams,James P.,,,James Pickwell,1895,1969,,lcnaf
,,Adams,James Patrick,,,,,,,lcnaf
,,Adams,James Truslow,,,,1878,1949,http://id.loc.gov/authorities/names/n50036853,lcnaf
,,Adams,Jayno W,,,,,,,lcnaf
,,Adams,John Quincy,,,,1767,1848,http://id.loc.gov/authorities/names/n79140988,lcnaf
,,Adams,Paul L.,,,Paul Lincoln,1908,,,lcnaf
,,Adams,R. C,,,,,,,lcnaf
,,Adams,Randolph Greenfield,,,,1892,1951,http://id.loc.gov/authorities/names/n89613731,lcnaf
,,Adams,Sherman,,,,1899,1986,http://id.loc.gov/authorities/names/n81005141,lcnaf
,,Adams,Theodore Wright,,,,1896,,,lcnaf
,,Adams,Thomas Hammond,,,,1901,,,lcnaf
,,Adams,Walter Sydney,,,,1876,1956,http://id.loc.gov/authorities/names/no96049328,lcnaf
,,Adams,Wilbur Christopher,,,,,,,lcnaf
,,Adamson,Thomas Charles,,,,,,http://id.loc.gov/authorities/names/n81019954,lcnaf
,,Adamus,Greg,,,,,,,lcnaf
,,Adamus,Stanley,,,,1922,1988,,lcnaf
,,Addams,Jane,,,,1860,1935,http://id.loc.gov/authorities/names/n79104234,lcnaf
,,Addes,George F.,,,,1910,,http://id.loc.gov/authorities/names/n91001033,lcnaf
,,Adel,Arthur,,,,1908,1994,http://id.loc.gov/authorities/names/no2007087183,lcnaf
,,Adenauer,Konrad,,,,1876,1967,http://id.loc.gov/authorities/names/n80060444,lcnaf
,,Adenauer,Paul,,,,,,,lcnaf
,,Adkins,Louis H.,,,,1900,,,lcnaf
,,Adler,Felix,,,,1851,1933,http://id.loc.gov/authorities/names/n79082242,lcnaf
,,Adler,Julius Ochs,,,,1892,1955,http://id.loc.gov/authorities/names/no2008130480,lcnaf
,,Adler,Morris,,,,,,http://id.loc.gov/authorities/names/nr89010045,lcnaf
,,Adler,O,,,,,,,lcnaf
,,Aga-Oglu,Mehmet,,,,1896,1949,http://id.loc.gov/authorities/names/n87808323,lcnaf
,,Agasid,Napoleon,,,,,,,lcnaf
,,Agassiz,Alexander,,,,1835,1910,http://id.loc.gov/authorities/names/n87149270,lcnaf
,,Agassiz,Louis,,,,1807,1873,http://id.loc.gov/authorities/names/n50041821,lcnaf
,,Agassiz,Mabel,,,,,,,lcnaf
,,Agnew,John Holmes,,,,1804,1865,http://id.loc.gov/authorities/names/nr92025505,lcnaf
,,Agnew,Spiro T.,,,,1918,1996,http://id.loc.gov/authorities/names/n79081960,lcnaf
,,Agranoff,Bernard W.,,,,1926,,http://id.loc.gov/authorities/names/n79126356,lcnaf
,,Aguinaldo,Emilio,,,,1869,1964,http://id.loc.gov/authorities/names/n50040351,lcnaf
,,Ahern,Richard D,,,,,,,lcnaf
,,Aherne,Brian,,,,,,http://id.loc.gov/authorities/names/n85138108,lcnaf
,,Ahmad,Eqbal,,,,,,http://id.loc.gov/authorities/names/n85813028,lcnaf
,,Ahrens,Henry,,,,,,,lcnaf
,,Aigler,Ralph W.,,,Ralph William,1885,,http://id.loc.gov/authorities/names/nr97027687,lcnaf
,,Aigler,Ralph William,,,,1885,1964,,lcnaf
,,Aiken,George D.,,,George David,1892,1984,http://id.loc.gov/authorities/names/n50033589,lcnaf
,,Aiken,Paul C.,,,,1910,1974,http://id.loc.gov/authorities/names/n99270662,lcnaf
,,Ailey,Alvin,,,,,,http://id.loc.gov/authorities/names/n92006465,lcnaf
,,Ainsworth,Arthur Sardius,,,,1862,,,lcnaf
,,Aitken,David Demerest,,,,1853,1930,,lcnaf
,,Aiton,Arthur Scott,,,,1894,1955,,lcnaf
,,Aked,Charles Frederic,,,,1864,1941,http://id.loc.gov/authorities/names/n88679651,lcnaf
,,Akers,Elmer,,,,1899,,,lcnaf
,,Akihito,Crown Prince,,"son of Hirohito, Emperor of Japan",,1933,,,lcnaf
,,Akil,H. Huda,,,,,,http://id.loc.gov/authorities/names/n87894814,lcnaf
,,Alawan,Charles Khalil,,,,,,,lcnaf
,,Alawan,Raad,,,,,,,lcnaf
,,Albers,George,,,,1891,,,lcnaf
,,Albert,Carl Bert,,,,1908,2000,http://id.loc.gov/authorities/names/n50035395,lcnaf
,,Albright,Horace M.,,,Horace Marden,1890,1987,http://id.loc.gov/authorities/names/n50040185,lcnaf
,,Albright,William Foxwell,,,,1891,1971,http://id.loc.gov/authorities/names/n50041030,lcnaf
,,Albright,William,,,,,,,lcnaf
,,Alcorn,Hugh Meade,,,,1907,,,lcnaf
,,Alden,John Richard,,,,1908,1991,http://id.loc.gov/authorities/names/n79102865,lcnaf
,,Alden,William C.,,,William Clinton,1871,,,lcnaf
,,Aldrich,Cyrus,,,,1808,1871,http://id.loc.gov/authorities/names/n2004115531,lcnaf
,,Aldrich,Frederick A,,,,,,,lcnaf
,,Aldrich,J. Frank,,,,,,,lcnaf
,,Aldrich,Nelson W.,,,Nelson Wilmarth,1841,1915,http://id.loc.gov/authorities/names/no89019687,lcnaf
,,Aldrich,R. J,,,,,,,lcnaf
,,Aldrich,Robert D.,,,,1920,1983,,lcnaf
,,Aldridge,John W,,,,,,,lcnaf
,,Alexander,John,,,,1891,,,lcnaf
,,Alexander,Michael T,,,,,,,lcnaf
,,Alexander,Robert,,,,1945,,,lcnaf
,,Alexander,William,,,,1938,,,lcnaf
,,Alger,Frederick Moulton,,,,1876,1933,http://id.loc.gov/authorities/names/no2008190062,lcnaf
,,Alger,Frederick Moulton,,,,1907,1967,http://id.loc.gov/authorities/names/no2008190043,lcnaf
,,Alger,R. A.,,,Russell Alexander,1836,1907,http://id.loc.gov/authorities/names/n81099052,lcnaf
,,Ali,Muhammad,,,,1942,,http://id.loc.gov/authorities/names/n79054611,lcnaf
,,Allan,Virginia R,,,,,,,lcnaf
,,Allen,Ada,,,,,,,lcnaf
,,Allen,Ann Isabella Barry,,,,,,,lcnaf
,,Allen,B. E.,,,Basil Ernest,1919,,,lcnaf
,,Allen,D. C,,,,,,,lcnaf
,,Allen,D. C.,,collector,,,,,lcnaf
,,Allen,Devere,,,,1891,1955,http://id.loc.gov/authorities/names/n50041041,lcnaf
,,Allen,Edward Payson,,,,1839,1909,http://id.loc.gov/authorities/names/no95049046,lcnaf
,,Allen,Elizabeth A,,,,,,,lcnaf
,,Allen,Elizabeth Howell,,,,,,,lcnaf
,,Allen,Emmet O.,,,Emmet Oliver,1846,1933,,lcnaf
,,Allen,Frances Alfred,,,,1919,,,lcnaf
,,Allen,Francis A,,,,,,,lcnaf
,,Allen,Francis Alfred,,,,1919,,,lcnaf
,,Allen,Fred,,,,1894,1956,http://id.loc.gov/authorities/names/n80139303,lcnaf
,,Allen,Frederick Lewis,,,,1890,1954,http://id.loc.gov/authorities/names/n50034529,lcnaf
,,Allen,Glenn S.,,,,1914,2001,http://id.loc.gov/authorities/names/no2008133142,lcnaf
,,Allen,Glover Morrill,,,,1879,1942,http://id.loc.gov/authorities/names/no98077497,lcnaf
,,Allen,Henry T.,,,Henry Tureman,1859,1930,http://id.loc.gov/authorities/names/n85062962,lcnaf
,,Allen,Hugh Pitzer,,,,1882,,,lcnaf
,,Allen,Irwin,,,,1916,1991,http://id.loc.gov/authorities/names/n95004265,lcnaf
,,Allen,J. A.,,,Joel Asaph,1838,1921,http://id.loc.gov/authorities/names/n50036582,lcnaf
,,Allen,John Robins,,,,1869,1920,,lcnaf
,,Allen,John,,,,1796,1851,http://id.loc.gov/authorities/names/n88252325,lcnaf
,,Allen,Joseph Henry,,,,1820,1898,http://id.loc.gov/authorities/names/n80089245,lcnaf
,,Allen,Knatarsha,,,,,,,lcnaf
,,Allen,Marilyn R,,,,,,http://id.loc.gov/authorities/names/n89607523,lcnaf
,,Allen,Mildred,,,,,,http://id.loc.gov/authorities/names/no93002049,lcnaf
,,Allen,Richard,,,,1760,1831,http://id.loc.gov/authorities/names/n82078023,lcnaf
,,Allen,Rolland Craten,,,,1881,1948,http://id.loc.gov/authorities/names/no2008188990,lcnaf
,,Allen,Shirley Walter,,,,1883,,,lcnaf
,,Allen,W. B.,,,William Barclay,1944,,http://id.loc.gov/authorities/names/n83162877,lcnaf
,,Allen,Z. E,,,,,,,lcnaf
,,Allen-Meares,Paula,,,,1948,,http://id.loc.gov/authorities/names/n85118978,lcnaf
,,Allin,Cephas Daniel,,,,1875,1927,,lcnaf
,,Allinson,Brent Dow,,,,,,,lcnaf
,,Allison,Bob,,,,1934,1995,http://id.loc.gov/authorities/names/n85120053,lcnaf
,,Allison,William B.,,,William Boyd,1829,1908,http://id.loc.gov/authorities/names/n88070988,lcnaf
,,Allmendinger,David Fredrich,,,,1848,1916,,lcnaf
,,Allmendinger,David Friedrich,,,,1848,1916,,lcnaf
,,Allmendinger,Elizabeth C.,,,,1837,1909,,lcnaf
,,Allmendinger,Helen Sophie,,,,1878,1973,,lcnaf
,,Allmendinger,Helene Sophie,,,,1878,1973,,lcnaf
,,Allmendinger,Ina,,,,,,,lcnaf
,,Allmendinger,Martin,,,,,,,lcnaf
,,Allon,Yigal,,,,1918,1980,http://id.loc.gov/authorities/names/n80014371,lcnaf
,,Allouez,Claude,,,,1622,1689,http://id.loc.gov/authorities/names/no2002044412,lcnaf
,,Allport,Floyd Henry,,,,1890,1978,http://id.loc.gov/authorities/names/n50021052,lcnaf
,,Allport,Gordon W.,,,Gordon Willard,1897,1967,http://id.loc.gov/authorities/names/n79044016,lcnaf
,,Allstorm,Oliver,,,,,,http://id.loc.gov/authorities/names/no2011175387,lcnaf
,,Alsop,Joseph,,,,1910,1989,http://id.loc.gov/authorities/names/n81035380,lcnaf
,,Altgeld,John Peter,,,,1847,1902,http://id.loc.gov/authorities/names/n50021477,lcnaf
,,Altmeyer,Arthur Joseph,,,,1891,1972,http://id.loc.gov/authorities/names/no95016988,lcnaf
,,Alvarado Mendoza,Arturo,,,,,,http://id.loc.gov/authorities/names/n87892248,lcnaf
,,Alvord,Henry J,,,,,,,lcnaf
,,Aly,Bower,,,,1903,1977,http://id.loc.gov/authorities/names/n50024120,lcnaf
,,Alzona,Encarnación,,,,1895,,,lcnaf
,,Amaral,Afræanio,,do,,1894,,,lcnaf
,,Amberg,David,,,,,,,lcnaf
,,Ames,Charles Gordon,,,,1828,1912,http://id.loc.gov/authorities/names/n88140354,lcnaf
,,Ames,Dewey,,,,,,http://id.loc.gov/authorities/names/no2012147597,lcnaf
,,Ames,Henry Vandenburg,,,,1865,1935,,lcnaf
,,Ames,Herman Vandenburg,,,,1865,1935,http://id.loc.gov/authorities/names/n50021584,lcnaf
,,Ames,James Barr,,,,1846,1910,http://id.loc.gov/authorities/names/n86013647,lcnaf
,,Ammann,Michael S,,,,,,,lcnaf
,,Amory,Cleveland,,,,,,http://id.loc.gov/authorities/names/n79112392,lcnaf
,,Amos,Earl V,,,,,,,lcnaf
,,Amper,Arcadio,,,,,,,lcnaf
,,Andaya,Herman,,,,,,,lcnaf
,,Anders,Günther,,,,1892,1992,,lcnaf
,,Anderson,Belle Douglass,,,,,,,lcnaf
,,Anderson,Charles F,,,,,,,lcnaf
,,Anderson,Clinton Presba,,,,1895,1975,http://id.loc.gov/authorities/names/n85105390,lcnaf
,,Anderson,Eugenie,,,,1900,,,lcnaf
,,Anderson,Godfrey J.,,,,,1981,,lcnaf
,,Anderson,Henry Clay,,,,1872,1939,,lcnaf
,,Anderson,Jack,,,,1922,2005,http://id.loc.gov/authorities/names/n79084441,lcnaf
,,Anderson,John Bayard,,,,1922,,http://id.loc.gov/authorities/names/n50021916,lcnaf
,,Anderson,John W.,,,,1906,,,lcnaf
,,Anderson,John Wendell,,,,1867,1945,,lcnaf
,,Anderson,Leigh Charles,,,,1899,,http://id.loc.gov/authorities/names/nr92028826,lcnaf
,,Anderson,Mary Douglass,,,,,,,lcnaf
,,Anderson,N. Charles,,,,,,,lcnaf
,,Anderson,Rasmus Björn,,,,1846,1936,,lcnaf
,,Anderson,Susan,,,,1870,1960,http://id.loc.gov/authorities/names/n91105665,lcnaf
,,Anderson,Tom,,,,1910,,http://id.loc.gov/authorities/names/n88172283,lcnaf
,,Anderson,William Albert,,,,1840,1903,,lcnaf
,,Anderson,William J,,,,,,,lcnaf
,,Anderson,William K.,,,William Knowlton,1896,1967,,lcnaf
,,Anderson,William K.,,,,1896,1967,,lcnaf
,,Anderson,William P.,,,,1888,,,lcnaf
,,Anderson,William,,,,1843,,,lcnaf
,,Andresen,Rachel Josephine,,,,1907,1988,,lcnaf
,,Andrewes,C. H.,,,Christopher Howard,,,http://id.loc.gov/authorities/names/n50022516,lcnaf
,,Andrews,C. F.,,,Charles Freer,1871,1940,http://id.loc.gov/authorities/names/n80030711,lcnaf
,,Andrews,Charles McLean,,,,1863,1943,http://id.loc.gov/authorities/names/n50041619,lcnaf
,,Andrews,Edmund,,,,1824,1904,http://id.loc.gov/authorities/names/n2006021878,lcnaf
,,Andrews,Ernest Oliver,,,,,,,lcnaf
,,Andrews,Harold F,,,,,,,lcnaf
,,Andrews,Roger,,,,1874,,,lcnaf
,,Angell,Alexis C.,,,Alexis Caswell,1857,1932,,lcnaf
,,Angell,Avery Aldrich,,,,1807,1894,,lcnaf
,,Angell,Carleton Watson,,,,1887,1963,,lcnaf
,,Angell,George T.,,,George Thorndike,1823,1909,http://id.loc.gov/authorities/names/n85809041,lcnaf
,,Angell,James Burrill,,,,1829,1916,http://id.loc.gov/authorities/names/no90002065,lcnaf
,,Angell,James Rowland,,,,1869,1949,http://id.loc.gov/authorities/names/no97001042,lcnaf
,,Angell,Robert Cooley,,,,1899,,,lcnaf
,,Angell,Robert Cooley,,,,1899,1984,http://id.loc.gov/authorities/names/n80015416,lcnaf
,,Angell,Sarah Caswell,,,,1831,1903,,lcnaf
,,Angell,William Robert,,,,1877,1950,,lcnaf
,,Angelo,Frank,,,,,,,lcnaf
,,Angus,David L,,,,,,http://id.loc.gov/authorities/names/n99005909,lcnaf
,,Annenberg,Walter H.,,,,1908,2002,http://id.loc.gov/authorities/names/n50021099,lcnaf
,,Anspach,Charles Le Roy,,,,1895,,http://id.loc.gov/authorities/names/no2006077147,lcnaf
,,Anthony,Edward Mason,,,,1922,,http://id.loc.gov/authorities/names/n50021295,lcnaf
,,Anthony,Edward,,,,,,,lcnaf
,,Anthony,Susan B.,,,Susan Brownell,1820,1906,http://id.loc.gov/authorities/names/n82096260,lcnaf
,,Applegate,Albert A,,,,,,,lcnaf
,,Applegate,Harriet Marie,,,,,,,lcnaf
,,Applington,Zenos,,,,,1862,,lcnaf
,,Aprill,Theophil,,,,,,,lcnaf
,,Araneta,Salvador,,,,,,,lcnaf
,,Archer,Dennis,,,,,,,lcnaf
,,Archer,Glenn Leroy,,,,1906,,,lcnaf
,,Ardrey,William C,,,,,,http://id.loc.gov/authorities/names/no99004731,lcnaf
,,Arendt,Hannah,,,,,,,lcnaf
,,Arens,Richard,,,,,,,lcnaf
,,Argoff,Charles,,,,1902,,,lcnaf
,,Ariens Kappers,Cornelius Ubbo,,,,1877,1946,http://id.loc.gov/authorities/names/no2001019150,lcnaf
,,Arkins,Edwin L,,,,,,,lcnaf
,,Armour,Norman,,,,,,,lcnaf
,,Armstrong,Arthur E.,,,Arthur Edward,1884,1976,,lcnaf
,,Armstrong,Elsa F.,,,Elsa Felland,1890,,,lcnaf
,,Armstrong,George Washington,,,,1866,,http://id.loc.gov/authorities/names/no2001093423,lcnaf
,,Armstrong,Hamilton Fish,,,,1893,1973,http://id.loc.gov/authorities/names/n50001856,lcnaf
,,Armstrong,Harriet Seymour,,,,,,,lcnaf
,,Armstrong,James,,,,1794,1868,http://id.loc.gov/authorities/names/n86114557,lcnaf
,,Armstrong,Louis,,,,1900,1971,,lcnaf
,,Armstrong,Louise Van Voorhis,,,,1885,1948,,lcnaf
,,Armstrong,Moses Kimball,,,,1832,,,lcnaf
,,Arndt,Albert F. R,,,,,,,lcnaf
,,Arnett,Judd,,,,1911,,,lcnaf
,,Arnheim,Rudolf,,,,,,http://id.loc.gov/authorities/names/n79071254,lcnaf
,,Arnold,Jennie Waterman,,,,,,,lcnaf
,,Arnold,Keith,,,,,,,lcnaf
,,Arnold,Melvin Luxton,,,,1913,,,lcnaf
,,Arnold,Orlan,,,,,,,lcnaf
,,Arnold,Thurman Wesley,,,,1891,1969,http://id.loc.gov/authorities/names/n79120287,lcnaf
,,Arnold,Virginia Safford,,,,,,,lcnaf
,,Arnori,M. S,,,,,,,lcnaf
,,Arnow,Harriette Louisa Simpson,,,,1908,1986,http://id.loc.gov/authorities/names/n50002199,lcnaf
,,Arps,George Frederick,,,,1874,1939,,lcnaf
,,Arthur,Chester Alan,,,,1829,1886,http://id.loc.gov/authorities/names/n50002601,lcnaf
,,Arthur,William Bolling,,,,1914,,,lcnaf
,,Artiaga,Santiago,,,,1878,1962,,lcnaf
,,Asbury,Hubert,,,,1891,1963,,lcnaf
,,Asher,Court,,,,,,http://id.loc.gov/authorities/names/n91091331,lcnaf
,,Ashford,Bailey K.,,,Bailey Kelly,1873,1934,http://id.loc.gov/authorities/names/n84804534,lcnaf
,,Ashley,H. W,,,,,,,lcnaf
,,Ashley,Thomas William Ludlow,,,,1923,,,lcnaf
,,Ashrawi,Hanan,,,,,,,lcnaf
,,Ashurst,Henry Fountain,,,,1874,1962,http://id.loc.gov/authorities/names/n92091024,lcnaf
,,Askren,D. L,,,,,,,lcnaf
,,Astin,Allen Varley,,,,1904,1984,http://id.loc.gov/authorities/names/n95110643,lcnaf
,,Astor,John Jacob,,,,1763,1848,http://id.loc.gov/authorities/names/n82027832,lcnaf
,,Aswad,Barbara C,,,,,,http://id.loc.gov/authorities/names/nr95026222,lcnaf
,,Aten,Murl K.,,,,1901,1971,http://id.loc.gov/authorities/names/no2009000167,lcnaf
,,Atkins,Daniel E.,,,Daniel Ewell,,,http://id.loc.gov/authorities/names/nr92016868,lcnaf
,,Atkinson,William F,,,,,,,lcnaf
,,Attwood,Charles,,,,,,,lcnaf
,,Attwood,Stephen S.,,,Stephen Stanley,1897,1965,http://id.loc.gov/authorities/names/n87117119,lcnaf
