alumID,degree,startyr,endyr,field,type,schoolID
189,"MA,Ph.D.",,,,graduate,11
193,,,,,graduate,11
196,,,,,graduate,11
204,MA,,,,graduate,11
245,,,,,graduate,11
284,,,,,graduate,11
291,,,,,graduate,11
476,AM,,,,graduate,11
479,MA,,,,graduate,11
627,MA,,,,graduate,11
707,AM,,,,graduate,11
762,,,,,graduate,11
797,BS,,,,graduate,11
798,AM,,,,graduate,11
806,BS,,,,graduate,11
811,,,,,graduate,11
843,,,,,graduate,11
869,MA,,,,graduate,11
959,,,,,graduate,11
988,BS,,,,graduate,11
1001,,,,,graduate,11
1065,AM,,,,graduate,11
1067,MA,,,,graduate,11
1092,,,,,graduate,11
1117,,,,,graduate,11
1144,BS,,,,graduate,11
1156,,,,,graduate,11
1154,MA,,,,graduate,11
1161,MA,,,,graduate,11
1208,,,,,graduate,11
1213,,,,,graduate,11
1270,MA,,,,graduate,11
1290,MA,,,,graduate,11
1299,,,,,graduate,11
1328,AM,,,,graduate,11
1363,,,,,graduate,11
1406,,,,,graduate,11
1423,,,,,graduate,11
1439,,,,,graduate,11
1453,AM,,,,graduate,11
1472,,,,,graduate,11
1481,,,,,graduate,11
1578,MA,,,,graduate,11
1589,AM,,,,graduate,11
1617,,,,,graduate,11
1642,,,,,graduate,11
1652,,,,,graduate,11
1662,,,,,graduate,11
1712,,,,,graduate,11
1756,,,,,graduate,11
1810,AM,,,,graduate,11
1741,,,,,graduate,11
1754,,,,,graduate,11
1828,,,,,graduate,11
1830,,,,,graduate,11
1885,,,,,graduate,11
1904,,,,,graduate,11
1917,,,,,graduate,11
1920,MA,,,,graduate,11
1929,MA,,,,graduate,11
1990,,,,,graduate,11
2001,,,,,graduate,11
2025,AM,,,,graduate,11
2029,,,,,graduate,11
2068,MA,,,,graduate,11
2095,B Science,,,,graduate,11
2158,,,,,graduate,11
2165,,,,,graduate,11
2231,,,,,graduate,11
2205,MA,,,,graduate,11
2219,AM,,,,graduate,11
2269,AM,,,,graduate,11
2341,,,,,graduate,11
2367,,,,,graduate,11
2379,,,,,graduate,11
2406,,,,,graduate,11
2413,,,,,graduate,11
2441,AM,,,,graduate,11
2461,AM,,,,graduate,11
2537,,,,,graduate,11
2543,,,,,graduate,11
2594,,,,,graduate,11
2583,AM,,,,graduate,11
2596,,,,,graduate,11
2628,MA,,,,graduate,11
2630,,,,,graduate,11
2676,,,,,graduate,11
2678,,,,,graduate,11
2741,AM,,,,graduate,11
2777,,,,,graduate,11
2835,,,,,graduate,11
2896,,,,,graduate,11
2901,AM,,,,graduate,11
2932,,,,,graduate,11
2940,,,,,graduate,11
2953,,,,,graduate,11
2963,,,,,graduate,11
2976,,,,,graduate,11
3006,,,,,graduate,11
3014,MA,,,,graduate,11
3023,,,,,graduate,11
3031,,,,,graduate,11
23,,,,,graduate,11
148,,,,,graduate,11
682,,,,,graduate,11
690,,,,,graduate,11
730,,,,,graduate,11
735,,,,,graduate,11
797,AM,,,,graduate,11
798,PhD,,,,graduate,11
877,,,,,graduate,11
888,AM,,,,graduate,11
988,RN,,,,graduate,11
1090,,,,,graduate,11
1113,,,,,graduate,11
1132,,,,,graduate,11
1185,,,,,graduate,11
1260,,,,,graduate,11
1478,,,,,graduate,11
1499,,,,,graduate,11
1644,,,,,graduate,11
1654,,,,,graduate,11
1815,,,,,graduate,11
1758,,,,,graduate,11
1851,,,,,graduate,11
2028,,,,,graduate,11
2104,MA,,,,graduate,11
2142,,,,,graduate,11
2269,PhD,,,,graduate,11
2396,,,,,graduate,11
2487,,,,,graduate,11
2567,,,,,graduate,11
2572,,,,,graduate,11
2582,,,,,graduate,11
2585,,,,,graduate,11
2629,,,,,graduate,11
2657,,,,,graduate,11
2681,,,,,graduate,11
2732,,,,,graduate,11
2733,,,,,graduate,11
2862,,,,,graduate,11
2883,,,,,graduate,11
2945,,,,,graduate,11
2955,,,,,graduate,11
3015,,,,,graduate,11
1302,AB,1911,1915,,undergraduate,11
2955,SB,,1920,,undergraduate,11
124,,,,,graduate,11
1546,,,,,graduate,11
2085,,,,,graduate,11
394,AM,,,,graduate,11
846,MA,,,,graduate,11
1338,,,,,graduate,11
1687,,,,,graduate,11
1943,BS,,,,graduate,11
2381,,,,,graduate,11
1874,,,,,graduate,11
35,AM,,,,graduate,11
134,,,,,graduate,11
150,MA,,,,graduate,11
174,,,,,graduate,11
366,AM,,,,graduate,11
369,,,,,graduate,11
430,,,,,graduate,11
435,,,,,graduate,11
490,MA,,,,graduate,11
528,MA,,,,graduate,11
543,AM,,,,graduate,11
566,MA,,,,graduate,11
580,,,,,graduate,11
646,,,,,graduate,11
909,,,,,graduate,11
917,,,,,graduate,11
935,,,,,graduate,11
19,,,,,graduate,11
517,MA,,,,graduate,11
576,,,,,graduate,11
65,,,,,graduate,11
92,,,,,graduate,11
98,,,,,graduate,11
327,,,,,graduate,11
94,,,,,graduate,11
300,MA,,,,graduate,11
307,,,,,graduate,11
336,,,,,graduate,11
345,,,,,graduate,11
2621,,,,,graduate,328
30,,,,,graduate,12
161,,,,,graduate,12
548,,,,,graduate,12
705,,,,,graduate,12
730,,,,,graduate,12
777,,,,,graduate,12
877,,,,,graduate,12
1030,,,,,graduate,12
1120,AM,,,,graduate,12
1402,PhD,,,,graduate,12
1484,,,,,graduate,12
1780,,,,,graduate,12
2076,,,,,graduate,12
2423,PhD,,,,graduate,12
2589,,,,,graduate,12
2801,,,,,graduate,12
69,,,,,graduate,12
215,,,,,graduate,12
1097,MA,,,,graduate,12
1306,,,,,graduate,12
1837,,,,,graduate,12
1909,,,,,graduate,12
1943,,,,,graduate,12
2330,,,,,graduate,12
1097,BA,,,,undergraduate,12
1785,,,,,undergraduate,12
2570,AB,,1909,,undergraduate,12
2986,,,,,graduate,12
2435,,,,,graduate,12
35,,,,,graduate,12
152,,,,,graduate,13
2675,AB,,1917,,undergraduate,13
53,,,,,graduate,14
338,,,,,graduate,14
464,,,,,graduate,14
2756,,,,,graduate,14
279,AB,,,,undergraduate,14
1776,AB,,,,undergraduate,14
399,kLAB,1918,1920,ED,undergraduate,14
0,,,,,undergraduate,68
2993,BA,,,,undergraduate,15
1419,AB,,,,graduate,329
1621,,,,,graduate,330
83,,,,,graduate,331
1043,,,,,graduate,332
2258,,,,,graduate,332
2312,,,,,graduate,332
1145,,,,,graduate,17
1961,AB,,,,graduate,17
2004,,,,,graduate,17
1066,BS,,,,undergraduate,17
1124,AB,,1883,Ed,undergraduate,17
1853,,,,,undergraduate,17
1036,,,,,graduate,138
2314,,,,,graduate,139
773,,,,,graduate,140
872,,,,,graduate,293
1581,,,,,graduate,141
1009,,,,,graduate,141
777,,,,,graduate,141
554,,,,,graduate,141
2378,,,,,graduate,141
891,,,,,graduate,141
232,,,,,graduate,143
1432,,,,,graduate,143
1337,AB,,,,undergraduate,18
2488,,,,,undergraduate,18
88,,,,,graduate,19
2775,,,,,graduate,19
1000,,,,,undergraduate,19
1889,AB,,,,undergraduate,19
2368,BS,1912,1916,Sci,undergraduate,20
1468,,,,,graduate,157
1551,,,,,graduate,151
3005,LLB,,,,graduate,151
1634,BD,,,,graduate,146
49,,,,,graduate,147
316,MA,,,,graduate,147
395,,,,,graduate,147
682,,,,,graduate,147
758,,,,,graduate,147
804,,,,,graduate,147
862,,,,,graduate,147
1132,,,,,graduate,147
1206,,,,,graduate,147
1316,,,,,graduate,147
1644,,,,,graduate,147
1698,,,,,graduate,147
1702,,,,,graduate,147
2089,M Ed,,,,graduate,147
2142,,,,,graduate,147
2370,,,,,graduate,147
2687,,,,,graduate,147
2954,,,,,graduate,147
1208,,,,,graduate,147
1578,,,,,graduate,147
1836,,,,,graduate,147
2226,,,,,graduate,147
2379,,,,,graduate,147
2393,,,,,graduate,147
2533,,,,,graduate,147
2626,,,,,graduate,147
2721,,,,,graduate,147
2949,,,,,graduate,147
3006,,,,,graduate,147
3009,,,,,graduate,147
344,,,,,graduate,147
796,,,,,graduate,147
750,,,,,graduate,147
1262,,,,,graduate,147
1482,,,,,graduate,147
2548,,,,,graduate,147
174,,,,,graduate,147
341,,,,,graduate,147
342,,,,,graduate,147
998,,,,,graduate,318
603,AB,,,,undergraduate,21
1890,AB,,1897,Ed,undergraduate,21
2261,AB,,,,undergraduate,21
2972,AB,,,,undergraduate,21
602,AB,,,,undergraduate,21
92,,,,,graduate,21
106,PhB,,,,graduate,21
477,,,,,graduate,21
1714,PhB,,,,graduate,21
1424,,,,,graduate,150
252,AB,,,,undergraduate,23
1257,AB,,,,undergraduate,23
1459,,,,,graduate,152
164,,,,,graduate,153
1046,,,,,graduate,153
2477,BS,,,,undergraduate,24
2457,AM,,,,graduate,67
26,,,,,graduate,67
621,,,,,graduate,67
735,AM,,,,graduate,67
1688,AM,,,,graduate,67
2455,,,,,graduate,67
970,BA,,,,undergraduate,25
1716,"BA,MA",,,,graduate,303
1044,MS,,,,graduate,155
2575,,,,,graduate,155
2734,MA,,,,graduate,155
2867,,,,,graduate,155
2403,,,,,graduate,156
2603,,,,,graduate,157
208,,,,,graduate,157
297,',,,,graduate,157
368,,,,,graduate,157
1468,,,,,graduate,157
1774,RN,,,,graduate,157
2313,,,,,graduate,157
2906,,,,,graduate,157
64,Ph.D.,,,,graduate,157
279,PhD,,,,graduate,157
841,MD,,,,graduate,157
127,,,,,graduate,157
351,MD,,,,graduate,157
572,,,,,graduate,27
928,,,,,graduate,27
1048,,,,,graduate,27
1049,,,,,graduate,27
2283,,,,,graduate,27
2882,,,,,graduate,27
84,,,,,graduate,158
2442,,,,,graduate,159
1253,AB,,,,graduate,160
2534,,,,,graduate,161
1272,,,,,graduate,333
2619,BS,,,,graduate,295
2066,,,,,graduate,213
354,,,,,graduate,28
2275,,,,,graduate,28
2060,AB,,,,undergraduate,28
1448,AB,,,,undergraduate,29
1020,,,,,graduate,29
2066,,,,,graduate,90
1148,,,,,graduate,311
2173,BS,,,,graduate,312
2736,,,,,graduate,313
1013,,,,,graduate,313
2862,AM,,,,graduate,165
525,,,,,graduate,296
1035,,,,,graduate,166
901,,,,,graduate,167
2430,,,,,graduate,169
1469,,,,,graduate,169
1999,,,,,graduate,169
2510,,,,,graduate,314
1335,,,,,graduate,170
167,BA,,,,undergraduate,30
422,,,,,graduate,171
2459,MD,,,,graduate,172
32,,,,,graduate,34
1174,,,,,graduate,34
1917,,,,,graduate,34
2225,,,,,graduate,34
1725,,,,,graduate,31
1893,AB,,,Ed,undergraduate,31
876,,,,,graduate,32
975,,,,,graduate,32
1570,,,,,graduate,32
180,BS,1886,1890,,undergraduate,32
2289,MA,,,,graduate,173
1542,AB,,,,undergraduate,33
6,,,,,graduate,34
216,AB,,,,graduate,34
217,,,,,graduate,34
523,,,,,graduate,34
681,,,,,graduate,34
1031,,,,,graduate,34
1072,,,,,graduate,34
1150,,,,,graduate,34
1509,,,,,graduate,34
2602,,,,,graduate,34
2613,,,,,graduate,34
2958,AB,,,,undergraduate,34
3015,,,,,undergraduate,34
1828,,,,,graduate,297
2409,,,,,graduate,35
417,AB,,,,graduate,35
1113,,,,,graduate,35
49,,,,,graduate,35
1662,,,,,graduate,35
1966,AB,,,,undergraduate,35
1631,,,,,graduate,174
750,,,,,graduate,298
95,AB,,0,Education,undergraduate,36
446,Ph.B,,1902,,undergraduate,334
1034,,,,,graduate,36
2008,BA,,,,graduate,36
2930,AB,,,,graduate,36
428,AB,,,,undergraduate,36
1293,AB,,1910,Ed,undergraduate,36
2401,AB,,1907,Engl,undergraduate,36
2485,AB,,,,undergraduate,36
2548,AB,,1881,Ed,undergraduate,36
765,,,,,graduate,176
834,AB,,1865,Science,undergraduate,37
2520,,,,,graduate,177
894,,,,,graduate,177
830,,,,,graduate,178
2449,,,,,graduate,179
862,,,,,graduate,189
694,,,,,graduate,189
845,,,,,graduate,189
1177,,,,,graduate,189
1528,,,,,graduate,189
2396,,,,,graduate,189
2482,,,,,graduate,189
2041,BS,,,,graduate,335
165,BS,,,,graduate,38
192,,,,,graduate,38
376,,,,,graduate,38
469,,,,,graduate,38
600,,,,,graduate,38
624,,,,,graduate,38
673,,,,,graduate,38
692,,,,,graduate,38
872,,,,,graduate,38
1751,MD,,,,graduate,38
1876,,,,,graduate,38
1883,,,,,graduate,38
1994,MD,,,,graduate,38
2327,,,,,graduate,38
2484,MD,,,,graduate,38
2510,,,,,graduate,38
2511,AB,,,,graduate,38
2964,MD,,,,graduate,38
56,M.D.,,,,graduate,38
113,,,,,graduate,38
2207,,,,,graduate,38
2882,,,,,graduate,38
1638,BL,,,,undergraduate,38
2891,AB,,,,undergraduate,38
2389,MA,,,,graduate,38
590,MS,,,,graduate,39
658,MA,,,,graduate,39
2319,,,,,graduate,39
2326,AM,,,,graduate,39
1170,,,,,graduate,39
2652,,,,,graduate,39
1620,AB,,,,undergraduate,39
1652,RN,,,,graduate,193
2273,,,,,graduate,193
783,BS,,,,graduate,189
2228,,,,,graduate,189
59,,,,,graduate,40
212,--,,,,graduate,40
703,,,,,graduate,40
884,,,,,graduate,40
1215,,,,,graduate,40
1425,,,,,graduate,40
2453,,,,,graduate,40
2495,,,,,graduate,40
2287,,,,,graduate,40
1114,AB,,,,undergraduate,40
1287,AB,,1916,,undergraduate,40
1456,AB,,,,undergraduate,40
2028,AB,,1909,,undergraduate,40
2414,,1870,1874,,undergraduate,40
2619,AB,,,,undergraduate,40
2815,AB,,,,undergraduate,40
1069,,,,,graduate,195
861,,,,,graduate,196
604,,,,,graduate,41
729,,,,,graduate,41
1478,BA,,,,undergraduate,41
653,BA,,,,graduate,41
914,,,,,graduate,41
2173,LLB,,,,graduate,41
2393,,,,,graduate,41
2585,,,,,graduate,41
2672,,,,,graduate,41
1320,,,,,graduate,42
1051,AB,,,,graduate,42
2868,,,,,graduate,42
1649,BA,,,,undergraduate,42
2404,BS,,1914,,undergraduate,42
1963,,,,,graduate,42
660,AB,,1908,,undergraduate,43
825,"BS,L",,,,undergraduate,43
2614,AB,,,,undergraduate,43
2965,AB,,,,undergraduate,43
2987,AB,,,,undergraduate,43
3017,BA,,1901,Ed,undergraduate,43
389,,,,,graduate,43
410,,,,,graduate,43
535,AM,,,,graduate,43
609,BL,,,,graduate,43
1042,,,,,graduate,43
1054,,,,,graduate,43
1174,,,,,graduate,43
1490,,,,,graduate,43
1924,,,,,graduate,43
2239,BL,,,,graduate,43
2335,,,,,graduate,43
2468,,,,,graduate,43
302,,,,,graduate,197
986,,,,,graduate,197
2130,,,,,graduate,197
1487,,,,,graduate,198
1920,,,,,graduate,197
238,AB,,,,undergraduate,44
2016,BS,,,,undergraduate,45
89,,,,,graduate,336
2069,AM,,,,graduate,199
1718,,,,,graduate,337
2250,,,,,graduate,338
2574,,,,,graduate,338
1694,,,,,graduate,339
2238,,,,,graduate,340
1005,,,,,graduate,320
462,,,,,graduate,341
2788,,,,,graduate,205
2815,Certif.,,,,graduate,205
1179,,,,,graduate,205
1332,,,,,graduate,205
1572,,,,,graduate,205
3044,,,,,graduate,205
2446,,,,,graduate,205
559,BS,,,,undergraduate,46
362,AM,,,,graduate,47
544,,,,,graduate,47
546,AM,,,,graduate,47
1090,AM,,,,graduate,47
1121,,,,,graduate,47
1403,AM,,,,graduate,47
1768,,,,,graduate,47
2226,,,,,graduate,47
2245,MA,,,,graduate,47
2503,,,,,graduate,47
2920,AM,,,,graduate,47
539,,,,,graduate,47
546,Ph.D.,,,,graduate,47
1545,,,,,graduate,47
1126,BA,,1892,,undergraduate,47
1651,BS,,,,graduate,48
112,,,,,graduate,48
147,BA,,,Education,undergraduate,48
2194,,,,,graduate,207
401,MS,,,,graduate,208
401,BS,,,,undergraduate,208
848,B.S.,,,Science,undergraduate,50
848,AM,,,,graduate,50
215,,,,,graduate,51
1057,,,,,graduate,51
864,AB,,,,undergraduate,51
2604,MD,,,,graduate,299
923,,,,,graduate,299
1440,,,,,graduate,342
69,,,,,graduate,212
1055,,,,,graduate,52
1236,BS,,,,graduate,52
2179,BS,,,,graduate,52
2181,,,,,graduate,52
2931,,,,,graduate,52
3012,,,,,graduate,52
1340,BS,,,,undergraduate,52
2190,BS,,,,undergraduate,52
2304,,0,0,,undergraduate,52
2572,BS,,,,undergraduate,52
2452,,0,0,,undergraduate,53
2177,AM,,,,graduate,54
541,,,,,graduate,54
224,,,,,graduate,54
293,,,,,graduate,54
391,,,,,graduate,54
739,,,,,graduate,54
1021,,,,,graduate,54
1331,,,,,graduate,54
1708,,,,,graduate,54
1725,,,,,graduate,54
1791,BA,,,,graduate,54
1720,,,,,graduate,54
2036,,,,,graduate,54
2145,,,,,graduate,54
204,BS,,,,undergraduate,54
228,AB,,,,undergraduate,54
317,,,1907,,undergraduate,54
489,BA,,,,undergraduate,54
922,AB,,,,undergraduate,54
1228,AB,,,,undergraduate,54
1502,AB,,,,undergraduate,54
1691,AB,,,,undergraduate,54
1869,AB,,,,undergraduate,54
2151,AB,,1919,Sci,undergraduate,54
2177,AB,,,,undergraduate,54
2434,AB,,,,undergraduate,54
2443,AB,,,,undergraduate,54
2733,AB,,,,undergraduate,54
2829,BA,,1909,,undergraduate,54
2968,AB,,1913,,undergraduate,54
3009,BA,,1919,Sci,undergraduate,54
2084,,,,,graduate,287
462,,,,,graduate,213
1311,,,,,graduate,213
2155,,,,,graduate,213
2333,,,,,graduate,213
2847,,,,,graduate,213
1672,,,,,graduate,213
1402,,,,,graduate,213
1402,,,,,graduate,234
814,B.Pe,,,,graduate,214
2650,MA,,,,graduate,217
1906,AB,,,,graduate,56
2165,,,,,graduate,56
51,AB,,,,undergraduate,56
534,,,,,graduate,56
547,AM,,,,graduate,56
616,,,,,graduate,56
1682,,,,,graduate,56
1907,AB,,,,graduate,56
2375,,,,,graduate,56
3022,,,,,graduate,56
1210,,,,,graduate,240
1874,,,,,graduate,343
1507,,,,,graduate,57
381,,,,,graduate,57
324,BA,,1890,,undergraduate,57
2795,BA,,1912,,undergraduate,57
111,,,,,graduate,221
358,AB,,1913,,undergraduate,58
22,BM,,,,graduate,58
367,MA,,,,graduate,58
514,Ph.B.,,,,graduate,58
1146,,,,,graduate,58
2646,,,,,graduate,222
608,AB,,,,graduate,222
1723,,,,,graduate,223
2607,,,,,graduate,224
306,,,,,graduate,224
795,,,,,graduate,224
2905,,,,,graduate,224
768,MD,,,,graduate,226
2469,,,,,graduate,226
2773,MD,,,,graduate,300
483,MD,,,,graduate,300
1454,,1906,1907,,undergraduate,68
3000,AB,1921,1923,Ed,undergraduate,68
1396,,,,,graduate,238
1321,,,,,graduate,291
1638,,,,,graduate,291
1816,,,,,graduate,291
2008,,,,,graduate,291
2193,,,,,graduate,291
2419,PhD,,,,graduate,291
2574,,,,,graduate,291
2190,,,,,graduate,301
2735,,,,,graduate,62
2966,,,,,graduate,62
477,,,,,graduate,62
577,MA,,,,graduate,62
683,,,,,graduate,62
869,,,,,graduate,62
1012,,,,,graduate,62
1201,,,,,graduate,62
1264,,,,,graduate,62
1783,,,,,graduate,62
1754,,,,,graduate,62
2132,,,,,graduate,62
2231,,,,,graduate,62
2478,,,,,graduate,62
2891,,,,,graduate,62
2980,,,,,graduate,62
3014,,,,,graduate,62
911,,,,,graduate,62
30,,,,,graduate,60
411,,,,,graduate,60
478,,,,,graduate,60
602,,,,,graduate,60
719,,,,,graduate,60
721,PH.D.,,,,graduate,60
731,,,,,graduate,60
742,,,,,graduate,60
752,,,,,graduate,60
929,,,,,graduate,60
1200,EdB,,,,graduate,60
1206,,,,,graduate,60
1271,,,,,graduate,60
1403,,,,,graduate,60
1419,PhD,,,,graduate,60
1451,,,,,graduate,60
1594,,,,,graduate,60
1634,,,,,graduate,60
1636,,,,,graduate,60
1668,PhD,,,,graduate,60
1768,,,,,graduate,60
1782,,,,,graduate,60
1681,AM,,,,graduate,60
1871,,,,,graduate,60
1906,,,,,graduate,60
1961,,,,,graduate,60
2014,,,,,graduate,60
2189,,,,,graduate,60
2332,,,,,graduate,60
2351,,,,,graduate,60
2594,,,,,graduate,60
2742,,,,,graduate,60
2851,,,,,graduate,60
2895,PhD,,,,graduate,60
2908,,,,,graduate,60
2932,,,,,graduate,60
2924,,,,,graduate,60
2953,,,,,graduate,60
2317,,,,,graduate,64
2986,,,,,graduate,65
1556,,,,,graduate,65
1772,,,,,graduate,65
3045,,,,,graduate,65
1374,,,,,graduate,11
2745,,,,,graduate,12
3040,,,,,graduate,344
2178,,,,,graduate,345
1094,,,,,graduate,66
1401,,,,,graduate,66
1401,,,,,graduate,60
813,,,,,graduate,67
1522,AM,,,,graduate,240
2755,,,,,graduate,250
1864,,,,,graduate,250
1864,,,,,,76
1864,,,,,,147
1811,,,,,graduate,234
2765,MS,,,,graduate,315
1674,,,,,graduate,252
1847,,,,,graduate,306
1847,,,,,graduate,62
1122,,,,,graduate,346
1043,,,,,graduate,69
1774,,,,,graduate,69
2395,PhD,,,,graduate,69
1381,PhD,,,,graduate,69
2161,,,,,graduate,69
1110,,,,,graduate,347
22,,,,,graduate,62
1067,,,,,graduate,304
1288,,,,,graduate,304
1736,,,,,graduate,261
1742,,,,,graduate,197
788,AM,,,,graduate,236
2930,PhD,,,,graduate,236
2121,,,,,graduate,320
1720,,,,,graduate,72
3003,MS,,,,graduate,72
1120,,,,,graduate,264
1673,,,,,graduate,73
2361,,,,,graduate,73
2345,,,,,graduate,348
1525,,,,,graduate,237
2432,,,,,graduate,237
2581,,,,,graduate,76
2802,MS,,,,graduate,76
2803,,,,,graduate,76
2868,,,,,graduate,76
2890,,,,,graduate,76
1363,,,,,graduate,76
414,MA,,,,graduate,76
864,,,,,graduate,76
1039,,,,,graduate,76
1382,,,,,graduate,76
1580,ML,,,,graduate,76
1642,,,,,graduate,76
2275,,,,,graduate,76
242,,,,,graduate,291
131,,,,,graduate,62
303,,,,,graduate,62
534,,,,,graduate,62
129,,,,,graduate,60
291,,,,,graduate,60
339,,,,,graduate,60
446,,,,,graduate,60
284,,,,,graduate,64
134,,,,,graduate,66
297,,,,,graduate,236
167,,,,,graduate,305
143,,,,,graduate,76
240,,,,,graduate,76
469,,,,,graduate,60
1114,,,,,graduate,306
2649,,,,,graduate,62
731,LLM,,,,graduate,229
898,MA,,,,graduate,229
1263,,,,,graduate,229
659,MA,,,,graduate,68
727,MA,,,,graduate,68
285,,1910,1914,,undergraduate,68
536,,1895,1896,,undergraduate,68
618,AB,1912,1916,Ed,undergraduate,68
664,,1911,1914,Ed,undergraduate,68
667,,1882,1883,,undergraduate,68
764,AB,1899,1903,Rhetoric,undergraduate,68
798,AB,1897,1901,Ed,undergraduate,68
858,PhB,1893,1897,Ed,undergraduate,68
315,BA,1919,1923,Education,undergraduate,68
12,MD--1913,,,,graduate,68
73,PhD.,,,,graduate,68
196,,,,,graduate,68
204,PhD,,,,graduate,68
236,,,,,graduate,68
332,PhD,,,,graduate,68
388,Ph.D.,,,,graduate,68
401,,,,,graduate,68
526,MS,,,,graduate,68
821,--,,,,graduate,68
848,MD,,,,graduate,68
867,PhD,,,,graduate,68
977,MA,,,,graduate,68
1058,PhD,,,,graduate,68
1124,,,,,graduate,68
1154,PhD,,,,graduate,68
1163,PhD,,,,graduate,68
1242,PhD,,,,graduate,68
1386,MA,,,,graduate,68
1390,,,,,graduate,68
1550,PhD??,,,,graduate,68
1776,PhD,,,,graduate,68
1810,,,,,graduate,68
1853,PhD,,,,graduate,68
1856,PhD,,,,graduate,68
1869,,,,,graduate,68
2112,MS,,,,graduate,68
2401,PhD,,,,graduate,68
2482,AM,,,,graduate,68
2485,PhD,,,,graduate,68
2498,AM,,,,graduate,68
2537,MA,,,,graduate,68
2575,AM,,,,graduate,68
2863,PhD,,,,graduate,68
3001,PhD,,,,graduate,68
2347,,,,,graduate,68
2668,,,,,graduate,68
1565,,,,,graduate,68
1632,MD,,,,graduate,68
2041,,,,,graduate,68
2449,,,,,graduate,68
549,,,,,graduate,68
792,,1894,1896,,undergraduate,68
1313,MA,,,,graduate,68
