school,schoolID
Radcliffe College,47
Randolph-Macon Woman's College,48
"Reed College (Portland, Or.)",207
Rhode Island State College,208
Rijksuniversiteit te Utrecht,348
Ripon College,50
Rockford College,51
Rush Medical College,299
"School of the Museum of Fine Arts, Boston",342
Senesco State Normal,212
"Simmons College (Boston, Mass.)",52
Simpson College,53
Smith College,54
Sorbonne,213
Southwest Teacher College,214
St. Mary's College,216
Stamford University,217
Stanford University,56
State University of New York at Albany,87
Stout State University,220
Swarthmore College,57
Synodical College,221
Syracuse University,58
Taylor University,222
Thomas Normal School,223
Tri-State University (U.S.),226
Tufts University ,300
Tufts University. School of Medicine,228
"Union Biblical Seminary (Pune, India)",308
Union Theological Seminary,309
Universidad Complutense de Madrid (University of Madrid),252
Universidad Nacional Aut&oacute;noma de M&eacute;xico,346
Universit&auml;t Hamburg (University of Hamburg),248
Universit&auml;t Leipzig,234
Universit&auml;t M&uuml;nchen,347
Universit&auml;t Z&uuml;rich,235
Universit&eacute; de Gen&egrave;ve,344
Universit&eacute; de Paris,262
Universiteit van Amsterdam (University of Amsterdam),242
University of Arizona,238
University of Buffalo,301
University of California,62
"University of California, Berkeley",243
"University of California, Los Angeles",229
"University of California, Riverside",209
University of Cambridge,292
University of Chicago,60
University of Cincinnati,64
University of Colorado,65
University of Denver,245
University of Detroit,246
University of Havana,345
University of Illinois,66
University of Iowa,240
University of Kansas,250
University of Kentucky,251
University of Louisville,315
University of Michigan,68
University of Minnesota,69
University of Mississippi,70
University of Missouri,71
University of North Dakota,258
University of Notre Dame,39
University of Oklahoma,304
University of Omaha (1908-1931),260
University of Oregon,261
University of Oxford,197
University of Pennsylvania,236
University of Pittsburgh,320
University of Rochester,72
University of South Carolina,61
University of South Dakota,263
University of Southern California,264
University of Tennessee,305
University of Texas,73
University of Toledo,224
University of Toronto,74
University of Utah,75
University of Virginia,265
University of Washington,237
University of Western Ontario,84
University of Wisconsin,76
University of Wisconsin-Stout,343
University of Wyoming,266
Upper Iowa University,349
Vassar College,77
Washington State University,268
"Washington University (Saint Louis, Mo.)",270
Wellesley College,78
Wells College,271
"Wesleyan College (Middletown, Conn.)",272
West Chester (Pa.). State normal school,273
Western Reserve College (1826-1882),83
William Smith College,350
Wittenberg College,85
Woman's Medical College of Pennsylvania,351
Yale University,286
Zurich Polytechnic,341
