Filename,XPath,Suspicious Number,Context
affactp.xml,/ead/archdesc/dsc/c01[1]/c02[8]/c03[12]/did/unittitle, 1982-1987,"<title render=""italic"">Minority Students at the University of Michigan</title>, 1982-1987/88"
affactp.xml,/ead/archdesc/dsc/c01[1]/c02[9]/c03[1]/did/unittitle, 1988-1991,"<title render=""italic"">Faculty, Staff and Students of Color: A Statistical Profile, 1988-1991</title>,"
affactp.xml,/ead/archdesc/dsc/c01[2]/c02[1]/c03/c04[1]/did/unittitle, 1983-1993,"<title render=""italic"">Ten Year Report 1983-1993</title>,"
affirmat.xml,/ead/archdesc/dsc/c01[8]/c02[6]/did/unittitle, 1990-2003,"<title render=""italic"">Detroit Free Press</title>, 1990-2003"
afscmao.xml,/ead/archdesc/dsc/c01[5]/c02[2]/c03[7]/c04[1]/did/unittitle, 1975-1976,(For 1975-1976)
afscmao.xml,/ead/archdesc/dsc/c01[5]/c02[2]/c03[7]/c04[2]/did/unittitle, 1977-1978,(For 1977-1978)
albright.xml,/ead/archdesc/dsc/c01[5]/c02[3]/c03[4]/c04/did/unittitle, 1865-1920,"<title render=""italic"">""M"" Songs--A Sampling of Michigan Songs from 1865-1920</title>,"
alphaoa.xml,/ead/archdesc/dsc/c01/c02[5]/did/unittitle, 1902-1922,"<title render=""italic"">Catalogue of the Alpha Omega Alpha Honor Fraternity 1902-1922</title>. By William W. Root, Secretary-Treasurer, Ithaca, New York"
alumasso.xml,/ead/archdesc/dsc/c01[12]/c02[37]/c03[1]/did/unittitle, 1960-1985,"Dentistry, 1960-19857"
alumasso.xml,/ead/archdesc/dsc/c01[16]/c02[2]/c03[1]/c04/did/unittitle, 1868-1969,"<title render=""italic"">The University of Michigan's English Reputation, 1868-1969</title>, #523,"
alungmch.xml,/ead/archdesc/dsc/c01[9]/c02[4]/did/unittitle, 1993-1994,Program of work  (budget 1993-1994)
amlegmch.xml,/ead/archdesc/dsc/c01[6]/did/unittitle, 1919-1999,"Cancelled Post Files, 1919-1999"
andersgj.xml,/ead/archdesc/dsc/c01/c02/did/unittitle, 1918-1919,"""The 337th field hospital in north Russia, 1918-1919,"""
angelljb.xml,/ead/archdesc/dsc/c01[3]/c02[53]/c03[3]/did/unittitle, 1845-1849,"""Reminiscences of College Life from 1845-1849,"" for Brown University Souvenir, September"
angellrc.xml,/ead/archdesc/dsc/c01[3]/c02[6]/did/unittitle, 1920-1940,"<title render=""italic"">A critical review of the development of the personal document method in sociology, 1920-1940</title>-Correspondence,"
angusdav.xml,/ead/archdesc/dsc/c01[5]/c02[2]/did/unittitle, 1850-1880,"African-American School Attendance in the Nineteenth Century: Education in a Rural Northern Community, 1850-1880"
angusdav.xml,/ead/archdesc/dsc/c01[5]/c02[3]/did/unittitle, 1900-1920,"The Blueing of the High School: Vocationalism in Grand Rapids, 1900-1920"
angusdav.xml,/ead/archdesc/dsc/c01[5]/c02[7]/did/unittitle, 1836-1842,"Common School Politics in a Frontier City: Detroit, 1836-1842"
angusdav.xml,/ead/archdesc/dsc/c01[5]/c02[8]/did/unittitle, 1890-1995,"Conflict and Curriculum in the American High School, 1890-1995 (with Jeff Mirel)"
angusdav.xml,/ead/archdesc/dsc/c01[5]/c02[9]/did/unittitle, 1845-1900,"Conflict Class and the Nineteenth-Century Public High School in the Cities of the Midwest, 1845-1900"
angusdav.xml,/ead/archdesc/dsc/c01[5]/c02[13]/did/unittitle, 1836-1853,"Detroit's ""Great School Wars"": The School Politics of a Frontier City, 1836-1853"
angusdav.xml,/ead/archdesc/dsc/c01[5]/c02[14]/did/unittitle, 1842-1853,"Detroit's Great School Wars: Religion and Politics in a Frontier City, 1842-1853"
angusdav.xml,/ead/archdesc/dsc/c01[5]/c02[16]/did/unittitle, 1945-1960,"The Dropout in the Post-War Years, 1945-1960"
angusdav.xml,/ead/archdesc/dsc/c01[5]/c02[17]/did/unittitle, 1926-1940,"Enrollment Increases and High School Curriculum Reform: Detroit, 1926-1940 (with Jeffrey Mirel)"
angusdav.xml,/ead/archdesc/dsc/c01[5]/c02[18]/did/unittitle, 1928-1968,"Equality, Curriculum and the Decline of the Academic Ideal: Detroit, 1928-1968 (with Jeffrey Mirel)"
angusdav.xml,/ead/archdesc/dsc/c01[5]/c02[19]/did/unittitle, 1890-1990,"Equality, Standards, and the American High School Curriculum, 1890-1990 (with Jeffrey Mirel)"
angusdav.xml,/ead/archdesc/dsc/c01[5]/c02[22]/did/unittitle, 1880-1930,"Families Against the System: 50 Years of Survival, 1880-1930"
angusdav.xml,/ead/archdesc/dsc/c01[5]/c02[30]/did/unittitle, 1850-1950,"The Inescapable Institution: Youth, Work, and the Development of the High School, 1850-1950"
angusdav.xml,/ead/archdesc/dsc/c01[5]/c02[34]/did/unittitle, 1910-1994,"Mathematics Enrollments and the Development of the High School in the United States, 1910-1994 (with Jeffrey Mirel)"
angusdav.xml,/ead/archdesc/dsc/c01[5]/c02[35]/did/unittitle, 1920-1970,"Mathematics Enrollments and the Development of the High School in the United States, 1920-1970 (with Jeffrey Mirel)"
angusdav.xml,/ead/archdesc/dsc/c01[5]/c02[42]/did/unittitle, 1900-1930,"Patterns of Differentiation by Gender and Social Class in a Lighthouse Progressive School District, 1900-1930 (with Jeffrey Mirel)"
angusdav.xml,/ead/archdesc/dsc/c01[5]/c02[45]/did/unittitle, 1930-1968,"Politics, Race and the Dilution of the High School Curriculum: Detroit, 1930-1968 (with Jeffrey Mirel)"
angusdav.xml,/ead/archdesc/dsc/c01[5]/c02[49]/did/unittitle, 1900-1994,"Reassessing Private Schools: Coursetaking Patterns Among Private and Public High School Students, 1900-1994"
angusdav.xml,/ead/archdesc/dsc/c01[5]/c02[51]/did/unittitle, 1842-1853,"Religion and Politics in A Frontier City: Detroit, 1842-1853"
angusdav.xml,/ead/archdesc/dsc/c01[5]/c02[54]/did/unittitle, 1945-1990,"Rhetoric and Reform: The American High School Curriculum, 1945-1990 (with Jeffrey Mirel)"
angusdav.xml,/ead/archdesc/dsc/c01[5]/c02[55]/did/unittitle, 1928-1940,"The Rising Tide of Custodialism: Enrollment Increases and Curriculum Reform in Detroit, 1928-1940 (with Jeffrey Mirel)"
angusdav.xml,/ead/archdesc/dsc/c01[5]/c02[64]/did/unittitle, 1900-1920,"The Social Consequences of the Introduction of Vocational Education: Grand Rapids as a Test Case, 1900-1920 (with Thomas Neat)"
angusdav.xml,/ead/archdesc/dsc/c01[5]/c02[72]/did/unittitle, 1817-1900,"The University of Michigan as an Educational Leader, 1817-1900 (with Jeffrey Mirel)"
angusdav.xml,/ead/archdesc/dsc/c01[5]/c02[78]/did/unittitle, 1900-1920,"Vocationalism and the Blueing of the High School: Grand Rapids, Michigan, 1900-1920"
apogpub.xml,/ead/archdesc/did/unittitle, 1964-2007,"<unittitle encodinganalog=""245"">Alpha Phi Omega, Gamma Pi Chapter. (University of Michigan) publications, 1964-2007"
archcoll.xml,/ead/archdesc/dsc/c01[2]/c02[3]/c03[2]/c04[10]/c05[1]/did/unittitle, 1960-1961,"Center for Environmental Studies (proposed, 1960-1961)"
archcoll.xml,/ead/archdesc/dsc/c01[2]/c02[3]/c03[2]/c04[10]/c05[3]/did/unittitle, 1974-1975,"College of Environmental Resources, Planning, and Design (proposed, 1974-1975)"
archcoll.xml,/ead/archdesc/dsc/c01[2]/c02[3]/c03[3]/c04[27]/did/unittitle, 1952-1974,"<title render=""italic"">History of Architecture and Design, 1952-1974</title>,"
archcoll.xml,/ead/archdesc/dsc/c01[2]/c02[6]/c03/did/unittitle, 1998-2008,(bulk 1998-2008)
archcoll.xml,/ead/archdesc/dsc/c01[8]/c02[2]/c03[10]/c04[3]/did/unittitle, 1906-1936,"""Collections of the College, 1906-1936,"" Emil Lorch"
arnoldtr.xml,/ead/archdesc/dsc/c01[7]/c02[1]/c03[1]/did/unittitle, 1964-1971,"<title render=""italic"">Algomah</title>, 1964-1971"
arnoldtr.xml,/ead/archdesc/dsc/c01[7]/c02[1]/c03[11]/did/unittitle, 1959-1964,"<title render=""italic"">Ottawa</title>, 1959-1964"
assasist.xml,/ead/archdesc/dsc/c01[2]/c02[2]/did/unittitle, 1970-1979,(primarily 1970-1979)
assasist.xml,/ead/archdesc/dsc/c01[2]/c02[2]/c03[11]/c04[28]/c05[3]/did/unittitle, 1975-1980,"Computarization, 1975-1980"
assasist.xml,/ead/archdesc/dsc/c01[2]/c02[2]/c03[24]/c04[1]/did/unittitle, 1971-1982,(primarily 1971-1982)
asstpres.xml,/ead/archdesc/dsc/c01[6]/c02[35]/did/unittitle, 1954-1955,"Hobbs Airfield, 1954-1955,1968"
asstpres.xml,/ead/archdesc/dsc/c01[8]/c02[6]/did/unittitle, 19401978,"Biological Station, Executive Committee, 19401978"
athdept.xml,/ead/archdesc/dsc/c01[1]/c02[9]/c03[2]/c04[3]/c05[5]/did/unittitle, 1980-1198,"Reunion team photo, ca 1980-11985"
athdept.xml,/ead/archdesc/dsc/c01[1]/c02[12]/c03[3]/c04[1]/c05[1]/c06[2]/did/unittitle, 1987-2001,1987-2001/02
athdept.xml,/ead/archdesc/dsc/c01[1]/c02[26]/c03[2]/c04[3]/c05[1]/c06[1]/did/unittitle, 1994-2000,"Season Files and Media guides,  1994-20001"
athdept.xml,/ead/archdesc/dsc/c01[1]/c02[32]/c03[2]/c04[14]/did/unittitle, 1879-1974,"Lists of  conference and NCAA champions, all-conference and all-American athletes, 1879-1974."
athdept.xml,/ead/archdesc/dsc/c01[1]/c02[34]/c03[1]/c04[1]/did/unittitle, 1860-1915,"Vol. 1, 1860-1915/16"
athdept.xml,/ead/archdesc/dsc/c01[3]/c02[4]/c03[1]/c04[19]/c05[1]/did/unittitle, 1986-1992,"General, 1986-1992-1993"
atkinsd.xml,/ead/archdesc/dsc/c01[3]/c02[2]/c03[57]/did/unittitle, 1993-1994,"Panko, Walter, 1993-19944"
axelrods.xml,/ead/archdesc/dsc/c01[3]/c02[20]/did/unittitle, 1977-1981,"University of California at Irvine, 1977-19811"
bachbarb.xml,/ead/archdesc/dsc/c01[4]/c02[3]/did/unittitle, 1980-1982,Ann Arbor Democratic Party (Chair 1980-1982)
bakerdea.xml,/ead/archdesc/dsc/c01[5]/c02[2]/c03[4]/did/unittitle, 1994-1995,"Open Meeting Act/Freedom of Information Requests re. 1987/1988 Search, 1994-1995"
bakerhf.xml,/ead/archdesc/dsc/c01[2]/c02[3]/did/unittitle, 1910-1912,"Papers, concerning the Conference of Progressive State Granges, 1910-1912"
bandh.xml,/ead/archdesc/dsc/c01[12]/did/unittitle, 1903-1912,"Correspondence and Miscellanea, 1903-1912"
bandum.xml,/ead/archdesc/dsc/c01[4]/c02[1]/c03[2]/c04[7]/did/unittitle, 1999-2000,"""It's All About Blue: Marching Band 1999-2000,"""
barneyj.xml,/ead/archdesc/dsc/c01[1]/c02[6]/c03[16]/c04[3]/did/unittitle, 1997-1998,(mostly 1997-1998)
barneyj.xml,/ead/archdesc/dsc/c01[2]/c02[8]/c03[1]/did/unittitle, 1955-1956,"<title render=""italic"">68 South State Street: Letters from Jane L. Barney 1955-1956</title>,"
barrabee.xml,/ead/archdesc/dsc/c01[2]/c02[3]/did/unittitle, 1964-1968,"Papers concerning attempts to abolish the House Un-American Activities Committee, 1964-1968."
bartletl.xml,/ead/archdesc/dsc/c01[4]/c02[9]/did/unittitle, 1957-1963,"Press releases, 1957-1963"
bateshm.xml,/ead/archdesc/dsc/c01[4]/c02[13]/did/unittitle, 1911-1949,"Newspaper clippings, 1911-1949"
batesmar.xml,/ead/archdesc/dsc/c01[6]/c02[1]/c03[2]/c04[2]/c05[1]/c06[1]/did/unittitle, 1891-1900,No. 1891-1900
batesmar.xml,/ead/archdesc/dsc/c01[6]/c02[1]/c03[2]/c04[2]/c05[1]/c06[2]/did/unittitle, 1901-2000,No. 1901-2000
bauereliz.xml,/ead/archdesc/dsc/c01[1]/c02[3]/did/unittitle, 1981-2011,"Personal correspondence, 1981-2011"
bauereliz.xml,/ead/archdesc/dsc/c01[2]/c02[9]/c03[3]/did/unittitle, 1980-1991,"Background/administrative, 1980-1991"
bauereliz.xml,/ead/archdesc/dsc/c01[3]/c02[1]/c03[25]/did/unittitle, 1972-1994,"Sterilization of the developmentally disabled in Michigan, 1972-1994"
beheejhn.xml,/ead/archdesc/dsc/c01/c02[1]/did/unittitle, 1948-1949,"Abraham, Morris (football, 1948-1949)"
beheejhn.xml,/ead/archdesc/dsc/c01/c02[2]/did/unittitle, 1961-1964,"Burnley, Ken (track, 1961-1964)"
beheejhn.xml,/ead/archdesc/dsc/c01/c02[4]/did/unittitle, 1951-1954,"Codwell, John E. (basketball, 1951-1954; baseball, 1951)"
beheejhn.xml,/ead/archdesc/dsc/c01/c02[7]/did/unittitle, 1959-1961,"Curtis, Guy (football, 1959-1961; wrestling, 1958, 1960, 1962)"
beheejhn.xml,/ead/archdesc/dsc/c01/c02[8]/did/unittitle, 1958-1961,"Dickerson, Marshall (track, 1958-1961)"
beheejhn.xml,/ead/archdesc/dsc/c01/c02[9]/did/unittitle, 1957-1960,"Farris, Lovell (basketball, 1957-1960)"
beheejhn.xml,/ead/archdesc/dsc/c01/c02[10]/did/unittitle, 1946-1948,"Fonville, Charles (track, 1944; 1946-1948)"
beheejhn.xml,/ead/archdesc/dsc/c01/c02[11]/did/unittitle, 1968-1971,"Ford, Rodney (basketball, 1968-1971)"
beheejhn.xml,/ead/archdesc/dsc/c01/c02[12]/did/unittitle, 1966-1968,"Goss, Tom (football, 1966-1968)  and Dave Voight, NASSH"
beheejhn.xml,/ead/archdesc/dsc/c01/c02[15]/did/unittitle, 1923-1925,"Hubbard, W. DeHart (track, 1923-1925)"
beheejhn.xml,/ead/archdesc/dsc/c01/c02[16]/did/unittitle, 1966-1968,"Johnson, Ronald A. (football, 1966-1968)"
beheejhn.xml,/ead/archdesc/dsc/c01/c02[17]/did/unittitle, 1949-1951,"Johnson, Tom (football, 1949-1951; track, 1949, 1950, 1952)"
beheejhn.xml,/ead/archdesc/dsc/c01/c02[19]/did/unittitle, 1966-1969,"Maxey, Ken (basketball, 1966-1969)"
beheejhn.xml,/ead/archdesc/dsc/c01/c02[21]/did/unittitle, 1950-1952,"Perry, Lowell (football, 1950-1952; track, 1950, 1952)"
beheejhn.xml,/ead/archdesc/dsc/c01/c02[22]/did/unittitle, 1969-1970,"Rawls, Jesse (wrestling, 1969-1970)"
beheejhn.xml,/ead/archdesc/dsc/c01/c02[23]/did/unittitle, 1953-1955,"White, G. Anderson (diving, 1953-1955)"
beheejhn.xml,/ead/archdesc/dsc/c01/c02[24]/did/unittitle, 1932-1934,"Ward, Willis, (football, 1932-1934; track, 1933-1935)"
beheejhn.xml,/ead/archdesc/dsc/c01/c02[24]/did/unittitle, 1933-1935,"Ward, Willis, (football, 1932-1934; track, 1933-1935)"
beheejhn.xml,/ead/archdesc/dsc/c01/c02[25]/did/unittitle, 1963-1964,"Willie, Mike (football 1963-1964, 1966 did not earn varsity letter)"
beheejhn.xml,/ead/archdesc/dsc/c01/c02[26]/did/unittitle, 1944-1945,"Witherspoon, Julian W (track, 1944-1945)"
behnerf.xml,/ead/archdesc/did/unittitle, 1893-1924,"<unittitle encodinganalog=""245"">Frederick G. Behner papers, 1893-1924"
bellmarg.xml,/ead/archdesc/dsc/c01[10]/c02[7]/did/unittitle, 1928-1930,"Palmer Field, 1928-1930-History"
bennettw.xml,/ead/archdesc/dsc/c01[7]/c02[1]/did/unittitle, 1840-1942,""" <title render=""italic"">Building The University of Michigan, 1840-1942</title>"""
bennettw.xml,/ead/archdesc/dsc/c01[7]/c02[2]/did/unittitle, 1840-1942,""" <title render=""italic"">Building The University of Michigan, 1840-1942</title>"" Illustrations"
bethucc.xml,/ead/archdesc/dsc/c01[2]/c02[17]/did/unittitle, 1917-1927,"Estates record book  (including treasurer's miscellaneous, 1917-1927)"
bhl.xml,/ead/archdesc/dsc/c01[1]/c02[6]/c03[1]/c04[5]/c05[2]/did/unittitle, 1998-1999,"China  [See also, box 21 for 1998-1999]"
bhl.xml,/ead/archdesc/dsc/c01[1]/c02[10]/c03[2]/did/unittitle, 1968-1987,(bulk 1968-1987)
bhl.xml,/ead/archdesc/dsc/c01[1]/c02[10]/c03[3]/did/unittitle, 1988-2000,(Bulk 1988-2000)
bhl.xml,/ead/archdesc/dsc/c01[2]/c02[2]/c03[2]/c04[14]/did/unittitle, 1992-1993,"Outreach, 1992-1993"
bhl.xml,/ead/archdesc/dsc/c01[2]/c02[2]/c03[5]/c04[18]/did/unittitle, 1972-1998,"Miscellaneous, 1972-1998"
bhl.xml,/ead/archdesc/dsc/c01[3]/c02[3]/c03[48]/did/unittitle, 1910-1930,"Goin' north: Black Detroit and the great migration  (copy prints separately cataloged as Going north: Black Detroit and the great migration, 1910-1930)"
bhl.xml,/ead/archdesc/dsc/c01[5]/c02[6]/did/unittitle, 1965-1969,"Alternative proposals. Jickling and Lyman, architects. Renderings, site plans and floor plans. Twenty-eight sheets, 1965-1969. Blue line prints."
bhl.xml,/ead/archdesc/dsc/c01[5]/c02[7]/did/unittitle, 1965-1969,"Alternative proposals. Jickling and Lyman, architects. Renderings, site plans and floor plans. Twenty-eight sheets, 1965-1969. Blue line prints."
bhlpubs.xml,/ead/archdesc/dsc/c01[1]/c02[2]/c03[6]/did/unittitle, 1935-2010,"<title render=""italic"">75 Years of Scholarship: A Bibliography of Works Derived from the Holdings of the Michigan Historical Collections and the University Archives in the Bentley Historical Library, 1935-2010</title>"
bhlpubs.xml,/ead/archdesc/dsc/c01[1]/c02[7]/c03[11]/did/unittitle, 1860-1949,"No. 10 <title render=""italic"">Chase Salmon Osborn, 1860-1949</title>,"
bhlpubs.xml,/ead/archdesc/dsc/c01[1]/c02[7]/c03[25]/did/unittitle, 1894-1968,"No. 24 <title render=""italic"">Wilber M. Brucker, 1894-1968</title>,"
bhlpubs.xml,/ead/archdesc/dsc/c01[1]/c02[7]/c03[41]/did/unittitle, 1916-1919,"No. 40 <title render=""italic"">Detroit and the Great Migration, 1916-1919</title>,"
bhlpubs.xml,/ead/archdesc/dsc/c01[1]/c02[7]/c03[42]/did/unittitle, 1835-1991,"No. 41 <title render=""italic"">The Governors of Michigan, 1835-1991 A Brief Guide to Papers of Governors of the State of Michigan Held by the Bentley Historical Library</title>,  (see also number 58)"
bhlpubs.xml,/ead/archdesc/dsc/c01[1]/c02[7]/c03[53]/did/unittitle, 1845-2006,"No. 52 <title render=""italic"">The University of Michigan and China: 1845-2006</title>,"
bhlpubs.xml,/ead/archdesc/dsc/c01[1]/c02[7]/c03[55]/did/unittitle, 1845-2008,"No. 54 <title render=""italic"">The University of Michigan and China: 1845-2008</title>,"
bhlpubs.xml,/ead/archdesc/dsc/c01[1]/c02[7]/c03[57]/did/unittitle, 1845-2010,"No. 54, revised <title render=""italic"">The University of Michigan and China: 1845-2010</title>,"
bhlpubs.xml,/ead/archdesc/dsc/c01[1]/c02[7]/c03[60]/did/unittitle, 1835-2011,"No. 58 <title render=""italic"">The Governors of Michigan, 1835-2011 A Brief Guide to Papers of Governors of the State of Michigan Held by the Bentley Historical Library</title>,"
bhlpubs.xml,/ead/archdesc/dsc/c01[1]/c02[11]/c03[2]/did/unittitle, 1985-1987,"<title render=""italic"">Michigan: Promise and Performance</title>, 1985-1987"
bhlpubs.xml,/ead/archdesc/dsc/c01[1]/c02[17]/c03[2]/did/unittitle, 1897-1970,"<title render=""italic"">F. Clever Bald 1897-1970</title>,"
bhlpubs.xml,/ead/archdesc/dsc/c01[1]/c02[18]/c03[3]/did/unittitle, 1817-1992,"<title render=""italic"">The Making of the University of Michigan, 1817-1992</title> 175th Anniversary Edition edited and updated,"
bhlpubs.xml,/ead/archdesc/dsc/c01[1]/c02[18]/c03[9]/did/unittitle, 1856-1935,"<title render=""italic"">Michigan Memories: Student Voices and Images, 1856-1935</title>,"
bhlpubs.xml,/ead/archdesc/dsc/c01[1]/c02[18]/c03[10]/did/unittitle, 1940-1985,"<title render=""italic"">A Series of Firsts: Women in Michigan Science and Engineering, 1940-1985</title>"
biciath.xml,/ead/archdesc/dsc/c01[3]/c02[18]/did/unittitle, 1948-1951,"Engagements accepted, 1948-1951/52"
biciath.xml,/ead/archdesc/dsc/c01[3]/c02[68]/c03[5]/did/unittitle, 1897-1903,"Data on teams, 1897-1903."
biciath.xml,/ead/archdesc/dsc/c01[3]/c02[69]/did/unittitle, 1947-1951,"Golf Course Club House (progress reports, 1947-1951)"
biciath.xml,/ead/archdesc/dsc/c01[3]/c02[80]/did/unittitle, 1893-1905,"Account books of Charles Baird, 1893-1905"
bimedcom.xml,/ead/archdesc/dsc/c01[1]/c02[3]/c03[80]/did/unittitle, 19781982,"Gronvall, John A.  19781982"
bimedcom.xml,/ead/archdesc/dsc/c01[3]/c02[3]/c03[1]/did/unittitle, 1970-1973,(Classes of 1970-1973)
binkcoll.xml,/ead/archdesc/dsc/c01[2]/c02[38]/did/unittitle, 1934-1983,"Sadowski, George, 1934-1983)"
biochemp.xml,/ead/archdesc/dsc/c01/c02[4]/c03/did/unittitle, 1922-1955,"<title render=""italic"">The Department of Biological Chemistry, 1922-1955</title>, by Adam A. Christman,"
birkertg.xml,/ead/archdesc/dsc/c01[1]/c02[3]/c03[1]/did/unittitle, 1946-1947,"""Schrifttumsverzeichnis fur Architektur-Studierende"" (Student Reading List), Winter Semester, 1946-1947. Notebook with drawings of student projects"
birkertg.xml,/ead/archdesc/dsc/c01[2]/c02[5]/c03[1]/c04[2]/did/unittitle, 1960-1985,"Used by Gunnar Birkerts for his book <title render=""italic"">Gunnar Birkerts: Buildings, Projects and Thoughts 1960-1985</title>"
bishopjr.xml,/ead/archdesc/dsc/c01[2]/c02[33]/did/unittitle, 1933-1935,"Supplementary Materials on International Law  (to be used with E.D. Dickinson's <title render=""italic"">Cases on the Law of Nations</title> at the University of Michigan, 1933-1935)"
bishopwp.xml,/ead/archdesc/dsc/c01/c02[15]/did/unittitle, 1929-1938,"<bibref>
                <title>Carnegie Corporation and College Libraries, 1929-1938.</title>
                <imprint>[<date type=""publication"">1938</date>]</imprint>
              </bibref>"
bishopwp.xml,/ead/archdesc/dsc/c01/c02[68]/did/unittitle, 1902-1907,"<bibref><title>Reminiscences of Princeton: 1902-1907</title>, <title render=""italic"">Princeton University Chronicle</title> <imprint>[<date type=""publication"">June, 1947</date>]</imprint></bibref>"
blairfam.xml,/ead/archdesc/dsc/c01[3]/c02[2]/c03[1]/c04[1]/c05[7]/did/unittitle, 1816-1896,"Orianna Hanks Bostwick (ca. 1816-1896), sister of Cyrus Hanks"
blairfam.xml,/ead/archdesc/dsc/c01[3]/c02[4]/c03[1]/did/unittitle, 1832-1890,"Guy Franklin North (ca. 1832-1890), father of Effie North Blair and trumpeter of Company B, 18th Michigan Infantry (1862-1865)"
blanchjj.xml,/ead/archdesc/dsc/c01[5]/c02[2]/c03[8]/did/unittitle, 1987-1990,"Labor, 1987-1990"
blanchjj.xml,/ead/archdesc/dsc/c01[5]/c02[5]/did/unittitle, 1987-1990,Departments / Topical  (mainly 1987-1990)
blanchjj.xml,/ead/archdesc/dsc/c01[10]/c02[4]/did/unittitle, 1989-1990,Maura Cullen (Analyst)  (primarily 1989-1990)
bpwaachp.xml,/ead/archdesc/dsc/c01[5]/did/unittitle, 1921-1987,"Programs and activities, 1921-1987"
bracecl.xml,/ead/archdesc/dsc/c01[2]/c02[361]/did/unittitle, 1986-1988,"Solheim, Wilhelm, 1986-1988."
brandge.xml,/ead/archdesc/dsc/c01[1]/c02[3]/did/unittitle, 1911-1912,"Law School student material; include research paper  and record of expenses, 1911-1912."
bratere.xml,/ead/archdesc/dsc/c01[1]/c02[4]/c03[111]/did/unittitle, 1996-1999,"<title render=""italic"">Nuclear Waste, 1996-1999</title>"
brownfrk.xml,/ead/archdesc/dsc/c01[1]/c02[4]/did/unittitle, 1849-1993,"<title render=""italic"">Brief History of 21 Black Churches in Battle Creek, 1849-1993</title>"
brownfrk.xml,/ead/archdesc/dsc/c01[1]/c02[5]/did/unittitle, 1849-1998,"<title render=""italic"">Brief History of 34 Black Churches in Battle Creek, 1849-1998</title>"
brownfrk.xml,/ead/archdesc/dsc/c01[3]/c02[1]/did/unittitle, 1847-1906,"<title render=""italic"">African Methodist Episcopal Church in the Village of Marshall, 1847-1906</title>"
brownfrk.xml,/ead/archdesc/dsc/c01[3]/c02[9]/did/unittitle, 1902-2007,"<title render=""italic"">Neighborhoods of Washington Heights (Graves Addition), 1902-2007</title>"
bruckerw.xml,/ead/archdesc/dsc/c01[11]/c02[9]/did/unittitle, 1955-1960,"<title render=""italic"">Secretary of the Army, 1955-1960; Problems and Accomplishments</title> by Wilber M. Brucker, Sr. and Wilber M. Brucker, Jr."
buchele.xml,/ead/archdesc/dsc/c01[2]/c02[1]/c03[11]/c04[3]/did/unittitle, 1919-1966,"<title render=""italic"">Making Do &amp; Getting Through: KU Co-ops, Halls and Houses 1919-1966</title> by Fred McElhenie"
